Region;Year;Industry;Professional position;Total ;Women;Men;Gender Pay Gap
Midlands;2016;Manufacturing/production of Goods;No management;5 744  ;5 110  ;6 024  ; 914
Midlands;2016;"Water supply; sewage and waste disposal";No management;5 607  ;5 951  ;5 604  ;- 347
Midlands;2016;Construction ;No management;5 737  ;5 597  ;5 740  ; 143
Midlands;2016;SECTOR 3 SERVICES ;No management;5 838  ;5 416  ;6 213  ; 797
Midlands;2016;"Wholesale and retail trade; repair of motor vehicles and motorcycles";No management;5 002  ;4 642  ;5 522  ; 880
Midlands;2016;Transportation and storage;No management;6 179  ;5 919  ;6 385  ; 466
Midlands;2016;Hotels and restaurants;No management;4 183  ;4 157  ;4 235  ; 78
Midlands;2016;Information and communication;No management;8 628  ;7 067  ;9 332  ;2 265
Midlands;2016;Financial and insurance services;No management;6 762  ;6 302  ;7 835  ;1 533
Midlands;2016;Professional, scientific and technical services;No management;6 115  ;5 886  ;6 427  ; 541
Midlands;2016;Other business services;No management;5 326  ;4 722  ;5 564  ; 842
Midlands;2016;Health and social work;No management;5 771  ;5 710  ;6 107  ; 397
Midlands;2016;Arts, entertainment and recreation;No management;5 328  ;5 023  ;5 535  ; 512
Midlands;2016;Other service activities Other service activities;No management;5 777  ;5 443  ;6 187  ; 744
Midlands;2014;TOTAL;Total ;6 112  ;5 533  ;6 429  ; 896
Midlands;2014;SECTOR 2 PRODUCTION;Total ;6 057  ;5 228  ;6 258  ;1 030
Midlands;2014;Mining and quarrying;Total ;6 525  ;*  ;6 581  ;#WERT!
Midlands;2014;Manufacturing/production of Goods;Total ;6 011  ;5 156  ;6 343  ;1 187
Midlands;2014;"Water supply; sewage and waste disposal";Total ;5 764  ;5 670 ;5 764  ;#WERT!
Midlands;2014;Construction ;Total ;6 000  ;5 569  ;6 025  ; 456
Midlands;2014;SECTOR 3 SERVICES ;Total ;6 144  ;5 644  ;6 620  ; 976
Midlands;2014;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Total ;5 238  ;4 603  ;5 925  ;1 322
Midlands;2014;Transportation and storage;Total ;6 442  ;6 114  ;6 623 ;#WERT!
Midlands;2014;Hotels and restaurants;Total ;4 331  ;4 232  ;4 524  ; 292
Midlands;2014;Information and communication;Total ;8 501  ;6 924  ;9 233  ;2 309
Midlands;2014;Financial and insurance services;Total ;7 524  ;6 447  ;9 286  ;2 839
Midlands;2014;Professional, scientific and technical services;Total ;6 953  ;6 118  ;7 851  ;1 733
Midlands;2014;Other business services;Total ;5 386  ;4 710  ;5 689  ; 979
Midlands;2014;Health and social work;Total ;6 058  ;5 871  ;6 843  ; 972
Midlands;2014;Arts, entertainment and recreation;Total ;5 958  ;5 419  ;6 427  ;1 008
Midlands;2014;Other service activities Other service activities;Total ;6 226  ;5 587  ;7 241  ;1 654
Midlands;2014;TOTAL;Top, upper,  middle management;9 204  ;7 480  ;9 760  ;2 280
Midlands;2014;SECTOR 2 PRODUCTION;Top, upper,  middle management;9 198  ;7 798  ;9 342  ;1 544
Midlands;2014;Mining and quarrying;Top, upper,  middle management;*  ;-  ;*  ;#WERT!
Midlands;2014;Manufacturing/production of Goods;Top, upper,  middle management;9 539  ;7 986  ;9 776  ;1 790
Midlands;2014;"Water supply; sewage and waste disposal";Top, upper,  middle management;9 102 ;*  ;9 102 ;#WERT!
Midlands;2014;Construction ;Top, upper,  middle management;7 810  ;6 608 ;7 920  ;#WERT!
Midlands;2014;SECTOR 3 SERVICES ;Top, upper,  middle management;9 207  ;7 346  ;10 036  ;2 690
Midlands;2014;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Top, upper,  middle management;7 270  ;5 584 ;7 977  ;#WERT!
Midlands;2014;Transportation and storage;Top, upper,  middle management;11 697  ;10 949 ;11 782  ;#WERT!
Midlands;2014;Hotels and restaurants;Top, upper,  middle management;5 218  ;4 978  ;5 614 ;#WERT!
Midlands;2014;Information and communication;Top, upper,  middle management;12 871  ;11 362  ;13 020  ;1 658
Midlands;2014;Financial and insurance services;Top, upper,  middle management;11 786  ;10 176  ;12 150  ;1 974
Midlands;2014;Professional, scientific and technical services;Top, upper,  middle management;10 400  ;8 730  ;10 833  ;2 103
Midlands;2014;Other business services;Top, upper,  middle management;7 897  ;6 977  ;8 205 ;#WERT!
Midlands;2014;Health and social work;Top, upper,  middle management;8 732  ;7 803  ;9 792  ;1 989
Midlands;2014;Arts, entertainment and recreation;Top, upper,  middle management;7 596 ;6 693 ;8 012 ;#WERT!
Midlands;2014;Other service activities Other service activities;Top, upper,  middle management;9 273  ;8 158  ;9 693  ;1 535
Midlands;2014;TOTAL;Lower management;7 153  ;6 356  ;7 504  ;1 148
Midlands;2014;SECTOR 2 PRODUCTION;Lower management;7 320  ;6 602 ;7 470  ;#WERT!
Midlands;2014;Mining and quarrying;Lower management;*  ;*  ;*  ;#WERT!
Midlands;2014;Manufacturing/production of Goods;Lower management;7 222  ;6 463 ;7 319  ;#WERT!
Midlands;2014;"Water supply; sewage and waste disposal";Lower management;6 357 ;*  ;*  ;#WERT!
Midlands;2014;Construction ;Lower management;7 158  ;6 165  ;7 222  ;1 057
Midlands;2014;SECTOR 3 SERVICES ;Lower management;6 933  ;6 287  ;7 539  ;1 252
Midlands;2014;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lower management;6 665  ;5 633  ;7 223  ;1 590
Midlands;2014;Transportation and storage;Lower management;7 667 ;6 314  ;7 920  ;1 606
Midlands;2014;Hotels and restaurants;Lower management;4 950  ;4 746  ;5 180  ; 434
Midlands;2014;Information and communication;Lower management;8 514 ;6 775 ;9 694 ;#WERT!
Midlands;2014;Financial and insurance services;Lower management;8 727  ;7 516  ;9 714  ;2 198
Midlands;2014;Professional, scientific and technical services;Lower management;7 325  ;6 559  ;7 936  ;1 377
Midlands;2014;Other business services;Lower management;6 086  ;6 098  ;6 079  ;- 19
Midlands;2014;Health and social work;Lower management;6 980  ;6 524  ;7 763  ;1 239
Midlands;2014;Arts, entertainment and recreation;Lower management;7 358 ;6 973  ;7 902  ; 929
Midlands;2014;Other service activities Other service activities;Lower management;7 584  ;6 884 ;8 224  ;#WERT!
Midlands;2014;TOTAL;Lowest management;6 697  ;6 064  ;6 888  ; 824
Midlands;2014;SECTOR 2 PRODUCTION;Lowest management;6 545  ;5 712  ;6 700  ; 988
Midlands;2014;Mining and quarrying;Lowest management;*  ;*  ;*  ;#WERT!
Midlands;2014;Manufacturing/production of Goods;Lowest management;6 542  ;5 619  ;6 712  ;1 093
Midlands;2014;"Water supply; sewage and waste disposal";Lowest management;*  ;*  ;*  ;#WERT!
Midlands;2014;Construction ;Lowest management;6 346  ;5 455  ;6 375  ; 920
Midlands;2014;SECTOR 3 SERVICES ;Lowest management;6 814  ;6 202  ;7 163  ; 961
Midlands;2014;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lowest management;5 674  ;4 952  ;6 303  ;1 351
Midlands;2014;Transportation and storage;Lowest management;8 040 ;7 759 ;8 120 ;#WERT!
Midlands;2014;Hotels and restaurants;Lowest management;4 562  ;4 562  ;4 707  ; 145
Midlands;2014;Information and communication;Lowest management;8 115  ;6 688  ;8 283  ;1 595
Midlands;2014;Financial and insurance services;Lowest management;7 443  ;6 749  ;8 730  ;1 981
Midlands;2014;Professional, scientific and technical services;Lowest management;6 628  ;6 190  ;7 100  ; 910
Midlands;2014;Other business services;Lowest management;5 907  ;5 155 ;6 088  ;#WERT!
Midlands;2014;Health and social work;Lowest management;6 390  ;6 233  ;6 737  ; 504
Midlands;2014;Arts, entertainment and recreation;Lowest management;5 755  ;5 416 ;*  ;#WERT!
Midlands;2014;Other service activities Other service activities;Lowest management;6 498  ;6 112  ;6 884  ; 772
Midlands;2014;TOTAL;No management;5 773  ;5 319  ;5 987  ; 668
Midlands;2014;SECTOR 2 PRODUCTION;No management;5 672  ;5 015  ;5 848  ; 833
Midlands;2014;Mining and quarrying;No management;6 356  ;*  ;6 414  ;#WERT!
Midlands;2014;Manufacturing/production of Goods;No management;5 610  ;4 978  ;5 890  ; 912
Midlands;2014;"Water supply; sewage and waste disposal";No management;5 395  ;5 290 ;5 395  ;#WERT!
Midlands;2014;Construction ;No management;5 742  ;5 365  ;5 761  ; 396
Midlands;2014;SECTOR 3 SERVICES ;No management;5 839  ;5 437  ;6 119  ; 682
Midlands;2014;"Wholesale and retail trade; repair of motor vehicles and motorcycles";No management;4 866  ;4 439  ;5 262  ; 823
Midlands;2014;Transportation and storage;No management;6 200  ;6 019  ;6 299 ;#WERT!
Midlands;2014;Hotels and restaurants;No management;4 083  ;4 058  ;4 101  ; 43
Midlands;2014;Information and communication;No management;7 861  ;6 739  ;8 522  ;1 783
Midlands;2014;Financial and insurance services;No management;6 429  ;6 093  ;7 121  ;1 028
Midlands;2014;Professional, scientific and technical services;No management;5 993  ;5 738  ;6 283  ; 545
Midlands;2014;Other business services;No management;5 108  ;4 550  ;5 410  ; 860
Midlands;2014;Health and social work;No management;5 735  ;5 675  ;6 084  ; 409
Midlands;2014;Arts, entertainment and recreation;No management;5 441  ;5 089  ;5 882  ; 793
Midlands;2014;Other service activities Other service activities;No management;5 538  ;5 143  ;6 176  ;1 033
Midlands;2012;TOTAL;Total ;6 026  ;5 236  ;6 446  ;1 210
Midlands;2012;SECTOR 2 PRODUCTION;Total ;6 047  ;5 133  ;6 260  ;1 127
Midlands;2012;Mining and quarrying;Total ;6 237  ;*  ;6 242  ;#WERT!
Midlands;2012;Manufacturing/production of Goods;Total ;6 053  ;5 076  ;6 397  ;1 321
Midlands;2012;"Water supply; sewage and waste disposal";Total ;5 867  ;5 633  ;5 898  ; 265
Midlands;2012;Construction ;Total ;5 928  ;5 292  ;5 965  ; 673
Midlands;2012;SECTOR 3 SERVICES ;Total ;6 008  ;5 281  ;6 712  ;1 431
Midlands;2012;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Total ;5 157  ;4 504  ;5 759  ;1 255
Midlands;2012;Transportation and storage;Total ;7 067  ;6 375  ;7 197  ; 822
Midlands;2012;Hotels and restaurants;Total ;4 261  ;4 132  ;4 476  ; 344
Midlands;2012;Information and communication;Total ;8 547  ;6 895  ;9 335  ;2 440
Midlands;2012;Financial and insurance services;Total ;7 375  ;6 235  ;9 152  ;2 917
Midlands;2012;Professional, scientific and technical services;Total ;6 920  ;5 904  ;7 927  ;2 023
Midlands;2012;Other business services;Total ;5 286  ;4 643  ;5 597  ; 954
Midlands;2012;Health and social work;Total ;5 995  ;5 767  ;6 820  ;1 053
Midlands;2012;Arts, entertainment and recreation;Total ;5 585  ;4 911  ;6 103  ;1 192
Midlands;2012;Other service activities Other service activities;Total ;6 055  ;5 527  ;6 823  ;1 296
Midlands;2012;TOTAL;Top, upper,  middle management;9 140  ;7 085  ;9 756  ;2 671
Midlands;2012;SECTOR 2 PRODUCTION;Top, upper,  middle management;9 420  ;7 440  ;9 625  ;2 185
Midlands;2012;Mining and quarrying;Top, upper,  middle management;*  ;*  ;*  ;#WERT!
Midlands;2012;Manufacturing/production of Goods;Top, upper,  middle management;9 849  ;7 794  ;10 086  ;2 292
Midlands;2012;"Water supply; sewage and waste disposal";Top, upper,  middle management;8 449  ;*  ;8 664  ;#WERT!
Midlands;2012;Construction ;Top, upper,  middle management;7 871  ;5 600 ;8 083  ;#WERT!
Midlands;2012;SECTOR 3 SERVICES ;Top, upper,  middle management;8 929  ;6 967  ;9 905  ;2 938
Midlands;2012;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Top, upper,  middle management;7 828  ;6 118  ;8 417  ;2 299
Midlands;2012;Transportation and storage;Top, upper,  middle management;10 666 ;8 502 ;10 788 ;#WERT!
Midlands;2012;Hotels and restaurants;Top, upper,  middle management;5 180  ;4 620  ;5 663  ;1 043
Midlands;2012;Information and communication;Top, upper,  middle management;12 847  ;10 456  ;13 071  ;2 615
Midlands;2012;Financial and insurance services;Top, upper,  middle management;11 492  ;9 451  ;11 930  ;2 479
Midlands;2012;Professional, scientific and technical services;Top, upper,  middle management;10 407  ;7 692  ;11 294  ;3 602
Midlands;2012;Other business services;Top, upper,  middle management;7 508 ;5 619 ;8 734 ;#WERT!
Midlands;2012;Health and social work;Top, upper,  middle management;8 353  ;7 559  ;9 573  ;2 014
Midlands;2012;Arts, entertainment and recreation;Top, upper,  middle management;8 305 ;7 245 ;8 858  ;#WERT!
Midlands;2012;Other service activities Other service activities;Top, upper,  middle management;9 257  ;8 333 ;9 735  ;#WERT!
Midlands;2012;TOTAL;Lower management;7 225  ;6 349  ;7 570  ;1 221
Midlands;2012;SECTOR 2 PRODUCTION;Lower management;7 522  ;6 708  ;7 640  ; 932
Midlands;2012;Mining and quarrying;Lower management;*  ;*  ;*  ;#WERT!
Midlands;2012;Manufacturing/production of Goods;Lower management;7 679  ;6 717  ;7 825  ;1 108
Midlands;2012;"Water supply; sewage and waste disposal";Lower management;*  ;*  ;*  ;#WERT!
Midlands;2012;Construction ;Lower management;6 738  ;5 545 ;6 776  ;#WERT!
Midlands;2012;SECTOR 3 SERVICES ;Lower management;6 909  ;6 235  ;7 480  ;1 245
Midlands;2012;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lower management;6 605  ;5 755  ;7 040  ;1 285
Midlands;2012;Transportation and storage;Lower management;6 167 ;5 540  ;6 399 ;#WERT!
Midlands;2012;Hotels and restaurants;Lower management;4 905  ;4 715  ;4 952  ; 237
Midlands;2012;Information and communication;Lower management;9 414  ;7 375 ;9 837  ;#WERT!
Midlands;2012;Financial and insurance services;Lower management;8 632  ;7 445  ;9 262  ;1 817
Midlands;2012;Professional, scientific and technical services;Lower management;7 565  ;6 934  ;8 129  ;1 195
Midlands;2012;Other business services;Lower management;6 030  ;5 770 ;6 234 ;#WERT!
Midlands;2012;Health and social work;Lower management;6 952  ;6 546  ;7 647  ;1 101
Midlands;2012;Arts, entertainment and recreation;Lower management;6 200  ;5 608 ;6 783 ;#WERT!
Midlands;2012;Other service activities Other service activities;Lower management;7 086  ;6 170 ;7 752  ;#WERT!
Midlands;2012;TOTAL;Lowest management;6 460  ;5 727  ;6 756  ;1 029
Midlands;2012;SECTOR 2 PRODUCTION;Lowest management;6 555  ;5 925  ;6 675  ; 750
Midlands;2012;Mining and quarrying;Lowest management;*  ;*  ;*  ;#WERT!
Midlands;2012;Manufacturing/production of Goods;Lowest management;6 570  ;5 850  ;6 720  ; 870
Midlands;2012;"Water supply; sewage and waste disposal";Lowest management;*  ;*  ;*  ;#WERT!
Midlands;2012;Construction ;Lowest management;6 416  ;5 973  ;6 432  ; 459
Midlands;2012;SECTOR 3 SERVICES ;Lowest management;6 334  ;5 647  ;7 001 ;#WERT!
Midlands;2012;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lowest management;5 412  ;4 691  ;5 900  ;1 209
Midlands;2012;Transportation and storage;Lowest management;9 088  ;8 743  ;9 136  ; 393
Midlands;2012;Hotels and restaurants;Lowest management;4 455  ;4 292  ;4 636  ; 344
Midlands;2012;Information and communication;Lowest management;9 076  ;7 193  ;9 822  ;2 629
Midlands;2012;Financial and insurance services;Lowest management;7 429  ;6 951  ;8 038  ;1 087
Midlands;2012;Professional, scientific and technical services;Lowest management;6 771  ;5 968  ;7 379  ;1 411
Midlands;2012;Other business services;Lowest management;5 573  ;4 979 ;5 778  ;#WERT!
Midlands;2012;Health and social work;Lowest management;6 352  ;6 152  ;6 880  ; 728
Midlands;2012;Arts, entertainment and recreation;Lowest management;4 974 ;*  ;*  ;#WERT!
Midlands;2012;Other service activities Other service activities;Lowest management;6 500  ;6 162  ;6 798  ; 636
Midlands;2012;TOTAL;No management;5 583  ;4 984  ;5 904  ; 920
Midlands;2012;SECTOR 2 PRODUCTION;No management;5 606  ;4 889  ;5 792  ; 903
Midlands;2012;Mining and quarrying;No management;6 045  ;*  ;6 104  ;#WERT!
Midlands;2012;Manufacturing/production of Goods;No management;5 558  ;4 854  ;5 842  ; 988
Midlands;2012;"Water supply; sewage and waste disposal";No management;5 485  ;5 499  ;5 485  ;- 14
Midlands;2012;Construction ;No management;5 646  ;5 200  ;5 671  ; 471
Midlands;2012;SECTOR 3 SERVICES ;No management;5 560  ;5 025  ;6 105  ;1 080
Midlands;2012;"Wholesale and retail trade; repair of motor vehicles and motorcycles";No management;4 756  ;4 375  ;5 242  ; 867
Midlands;2012;Transportation and storage;No management;6 824  ;6 270  ;6 924  ; 654
Midlands;2012;Hotels and restaurants;No management;4 116  ;4 038  ;4 230  ; 192
Midlands;2012;Information and communication;No management;7 882  ;6 718  ;8 569  ;1 851
Midlands;2012;Financial and insurance services;No management;6 243  ;5 921  ;7 260  ;1 339
Midlands;2012;Professional, scientific and technical services;No management;5 914  ;5 546  ;6 443  ; 897
Midlands;2012;Other business services;No management;5 052  ;4 510  ;5 375  ; 865
Midlands;2012;Health and social work;No management;5 620  ;5 524  ;6 091  ; 567
Midlands;2012;Arts, entertainment and recreation;No management;5 092  ;4 680  ;5 577  ; 897
Midlands;2012;Other service activities Other service activities;No management;5 289  ;5 055  ;5 569  ; 514
North West;2020;TOTAL;Total ;6 575;6 053;6 860; 807
North West;2020;SECTOR 2 PRODUCTION;Total ;7 023;7 165;6 998;- 167
North West;2020;Mining and quarrying;Total ;6 594;*;6 417;#WERT!
North West;2020;Manufacturing/production of Goods;Total ;7 540;7 378;7 580; 202
North West;2020;"Water supply; sewage and waste disposal";Total ;6 066;5 938;6 092; 154
North West;2020;Construction ;Total ;6 201;5 875;6 218; 343
North West;2020;SECTOR 3 SERVICES ;Total ;6 282;5 873;6 721; 848
North West;2020;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Total ;5 821;5 152;6 379;1 227
North West;2020;Transportation and storage;Total ;5 553;5 459;5 563; 104
North West;2020;Hotels and restaurants;Total ;4 636;4 543;4 725; 182
North West;2020;Information and communication;Total ;8 719;7 186;9 200;2 014
North West;2020;Financial and insurance services;Total ;9 107;7 500;10 380;2 880
North West;2020;Professional, scientific and technical services;Total ;8 182;7 326;8 821;1 495
North West;2020;Other business services;Total ;5 510;4 947;5 628; 681
North West;2020;Health and social work;Total ;6 278;6 087;7 000; 913
North West;2020;Arts, entertainment and recreation;Total ;6 076;5 624;6 465; 841
North West;2020;Other service activities Other service activities;Total ;6 046;5 373;7 007;1 634
North West;2020;TOTAL;Top, upper,  middle management;10 832;9 283;11 294;2 011
North West;2020;SECTOR 2 PRODUCTION;Top, upper,  middle management;12 606;16 451;11 739;-4 712
North West;2020;Mining and quarrying;Top, upper,  middle management;*;*;*;#WERT!
North West;2020;Manufacturing/production of Goods;Top, upper,  middle management;14 802;17 041;13 731;-3 310
North West;2020;"Water supply; sewage and waste disposal";Top, upper,  middle management;10 109;*;10 109;#WERT!
North West;2020;Construction ;Top, upper,  middle management;8 865;7 697;8 907;1 210
North West;2020;SECTOR 3 SERVICES ;Top, upper,  middle management;9 948;7 961;11 000;3 039
North West;2020;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Top, upper,  middle management;9 697;7 307;10 635;3 328
North West;2020;Transportation and storage;Top, upper,  middle management;9 116;*;9 557;#WERT!
North West;2020;Hotels and restaurants;Top, upper,  middle management;5 629;5 159;6 176;1 017
North West;2020;Information and communication;Top, upper,  middle management;10 766;8 381;11 538;3 157
North West;2020;Financial and insurance services;Top, upper,  middle management;15 987;12 083;16 667;4 584
North West;2020;Professional, scientific and technical services;Top, upper,  middle management;12 527;12 443;12 538; 95
North West;2020;Other business services;Top, upper,  middle management;7 571;6 465;8 095;1 630
North West;2020;Health and social work;Top, upper,  middle management;9 254;8 338;11 500;3 162
North West;2020;Arts, entertainment and recreation;Top, upper,  middle management;7 419;6 499;7 937;1 438
North West;2020;Other service activities Other service activities;Top, upper,  middle management;8 970;7 876;9 860;1 984
North West;2020;TOTAL;Lower management;8 775;7 921;9 197;1 276
North West;2020;SECTOR 2 PRODUCTION;Lower management;9 284;10 006;9 158;- 848
North West;2020;Mining and quarrying;Lower management;*;*;*;#WERT!
North West;2020;Manufacturing/production of Goods;Lower management;9 852;10 432;9 722;- 710
North West;2020;"Water supply; sewage and waste disposal";Lower management;*;*;*;#WERT!
North West;2020;Construction ;Lower management;7 150;*;7 136;#WERT!
North West;2020;SECTOR 3 SERVICES ;Lower management;8 439;7 502;9 273;1 771
North West;2020;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lower management;7 704;7 281;7 780; 499
North West;2020;Transportation and storage;Lower management;7 841;*;7 906;#WERT!
North West;2020;Hotels and restaurants;Lower management;5 270;4 979;5 570; 591
North West;2020;Information and communication;Lower management;10 019;9 189;10 314;1 125
North West;2020;Financial and insurance services;Lower management;11 994;10 951;12 291;1 340
North West;2020;Professional, scientific and technical services;Lower management;9 524;8 759;9 802;1 043
North West;2020;Other business services;Lower management;6 668;6 986;6 600;- 386
North West;2020;Health and social work;Lower management;7 531;6 982;9 150;2 168
North West;2020;Arts, entertainment and recreation;Lower management;6 602;6 249;6 875; 626
North West;2020;Other service activities Other service activities;Lower management;7 038;6 375;8 349;1 974
North West;2020;TOTAL;Lowest management;7 425;6 841;7 669; 828
North West;2020;SECTOR 2 PRODUCTION;Lowest management;7 280;7 221;7 303; 82
North West;2020;Mining and quarrying;Lowest management;*;*;*;#WERT!
North West;2020;Manufacturing/production of Goods;Lowest management;7 573;7 257;7 612; 355
North West;2020;"Water supply; sewage and waste disposal";Lowest management;6 655;*;6 727;#WERT!
North West;2020;Construction ;Lowest management;6 932;*;6 929;#WERT!
North West;2020;SECTOR 3 SERVICES ;Lowest management;7 504;6 747;8 258;1 511
North West;2020;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lowest management;6 265;5 483;7 563;2 080
North West;2020;Transportation and storage;Lowest management;6 755;6 436;6 860; 424
North West;2020;Hotels and restaurants;Lowest management;4 965;4 878;5 073; 195
North West;2020;Information and communication;Lowest management;9 810;*;9 868;#WERT!
North West;2020;Financial and insurance services;Lowest management;9 787;9 072;10 165;1 093
North West;2020;Professional, scientific and technical services;Lowest management;8 484;8 254;8 653; 399
North West;2020;Other business services;Lowest management;8 596;7 586;9 182;1 596
North West;2020;Health and social work;Lowest management;6 841;6 667;7 158; 491
North West;2020;Arts, entertainment and recreation;Lowest management;5 981;5 809;*;#WERT!
North West;2020;Other service activities Other service activities;Lowest management;6 473;6 206;7 071; 865
North West;2020;TOTAL;No management;5 964;5 625;6 142; 517
North West;2020;SECTOR 2 PRODUCTION;No management;6 362;6 207;6 385; 178
North West;2020;Mining and quarrying;No management;6 348;*;6 174;#WERT!
North West;2020;Manufacturing/production of Goods;No management;6 645;6 290;6 723; 433
North West;2020;"Water supply; sewage and waste disposal";No management;5 710;5 344;5 777; 433
North West;2020;Construction ;No management;5 918;5 701;5 941; 240
North West;2020;SECTOR 3 SERVICES ;No management;5 710;5 521;5 873; 352
North West;2020;"Wholesale and retail trade; repair of motor vehicles and motorcycles";No management;5 307;4 888;5 775; 887
North West;2020;Transportation and storage;No management;5 353;5 340;5 353; 13
North West;2020;Hotels and restaurants;No management;4 437;4 381;4 479; 98
North West;2020;Information and communication;No management;8 072;6 917;8 591;1 674
North West;2020;Financial and insurance services;No management;7 279;6 866;7 939;1 073
North West;2020;Professional, scientific and technical services;No management;6 978;6 678;7 181; 503
North West;2020;Other business services;No management;5 231;4 706;5 416; 710
North West;2020;Health and social work;No management;5 958;5 885;6 278; 393
North West;2020;Arts, entertainment and recreation;No management;5 763;5 408;6 117; 709
North West;2020;Other service activities Other service activities;No management;5 277;4 910;5 953;1 043
North West;2018;TOTAL;Total ;6 492;5 884;6 814; 930
North West;2018;SECTOR 2 PRODUCTION;Total ;7 016;6 661;7 077; 416
North West;2018;Mining and quarrying;Total ;6 248;*;6 248;#WERT!
North West;2018;Manufacturing/production of Goods;Total ;7 383;6 900;7 502; 602
North West;2018;"Water supply; sewage and waste disposal";Total ;5 996;5 945;6 002; 57
North West;2018;Construction ;Total ;6 346;5 958;6 394; 436
North West;2018;SECTOR 3 SERVICES ;Total ;6 164;5 714;6 588; 874
North West;2018;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Total ;5 752;5 113;6 243;1 130
North West;2018;Transportation and storage;Total ;5 441;5 488;5 433;- 55
North West;2018;Hotels and restaurants;Total ;4 285;4 301;4 271;- 30
North West;2018;Information and communication;Total ;8 323;6 890;8 829;1 939
North West;2018;Financial and insurance services;Total ;9 081;7 339;10 400;3 061
North West;2018;Professional, scientific and technical services;Total ;7 953;6 975;8 617;1 642
North West;2018;Other business services;Total ;5 638;4 941;5 821; 880
North West;2018;Health and social work;Total ;6 190;5 985;6 919; 934
North West;2018;Arts, entertainment and recreation;Total ;6 119;5 773;6 501; 728
North West;2018;Other service activities Other service activities;Total ;5 913;5 038;7 335;2 297
North West;2018;TOTAL;Top, upper,  middle management;10 317;8 970;10 758;1 788
North West;2018;SECTOR 2 PRODUCTION;Top, upper,  middle management;11 410;15 422;10 921;-4 501
North West;2018;Mining and quarrying;Top, upper,  middle management;*;-;*;#WERT!
North West;2018;Manufacturing/production of Goods;Top, upper,  middle management;14 074;15 998;13 457;-2 541
North West;2018;"Water supply; sewage and waste disposal";Top, upper,  middle management;10 111;*;10 111;#WERT!
North West;2018;Construction ;Top, upper,  middle management;8 854;*;8 857;#WERT!
North West;2018;SECTOR 3 SERVICES ;Top, upper,  middle management;9 645;8 086;10 500;2 414
North West;2018;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Top, upper,  middle management;9 855;9 131;10 341;1 210
North West;2018;Transportation and storage;Top, upper,  middle management;8 798;*;8 941;#WERT!
North West;2018;Hotels and restaurants;Top, upper,  middle management;5 579;5 271;5 778; 507
North West;2018;Information and communication;Top, upper,  middle management;11 211;8 375;11 536;3 161
North West;2018;Financial and insurance services;Top, upper,  middle management;15 583;13 148;16 083;2 935
North West;2018;Professional, scientific and technical services;Top, upper,  middle management;10 872;9 423;11 196;1 773
North West;2018;Other business services;Top, upper,  middle management;8 206;7 345;8 714;1 369
North West;2018;Health and social work;Top, upper,  middle management;8 666;7 771;10 737;2 966
North West;2018;Arts, entertainment and recreation;Top, upper,  middle management;7 529;7 106;7 714; 608
North West;2018;Other service activities Other service activities;Top, upper,  middle management;8 816;7 527;9 367;1 840
North West;2018;TOTAL;Lower management;8 211;7 440;8 701;1 261
North West;2018;SECTOR 2 PRODUCTION;Lower management;8 770;9 202;8 666;- 536
North West;2018;Mining and quarrying;Lower management;*;-;*;#WERT!
North West;2018;Manufacturing/production of Goods;Lower management;9 616;9 935;9 549;- 386
North West;2018;"Water supply; sewage and waste disposal";Lower management;*;*;*;#WERT!
North West;2018;Construction ;Lower management;7 429;*;7 429;#WERT!
North West;2018;SECTOR 3 SERVICES ;Lower management;7 841;6 929;8 764;1 835
North West;2018;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lower management;7 405;6 316;8 116;1 800
North West;2018;Transportation and storage;Lower management;7 488;*;7 865;#WERT!
North West;2018;Hotels and restaurants;Lower management;5 001;4 875;5 200; 325
North West;2018;Information and communication;Lower management;8 047;7 720;8 673; 953
North West;2018;Financial and insurance services;Lower management;11 766;10 305;12 103;1 798
North West;2018;Professional, scientific and technical services;Lower management;9 078;8 375;9 608;1 233
North West;2018;Other business services;Lower management;6 283;5 712;6 588; 876
North West;2018;Health and social work;Lower management;7 194;7 014;7 617; 603
North West;2018;Arts, entertainment and recreation;Lower management;6 714;6 397;7 394; 997
North West;2018;Other service activities Other service activities;Lower management;7 091;6 130;7 999;1 869
North West;2018;TOTAL;Lowest management;7 274;6 630;7 630;1 000
North West;2018;SECTOR 2 PRODUCTION;Lowest management;7 019;6 789;7 110; 321
North West;2018;Mining and quarrying;Lowest management;*;-;*;#WERT!
North West;2018;Manufacturing/production of Goods;Lowest management;7 082;6 771;7 237; 466
