Region;Year;Nationality;Professional position;Statistics;Total;Women;Men;Gender Pay Gap
Midlands;2016;Swiss;Total;3 Quantile;8 047 ;6 990 ;8 767 ;1 777
Midlands;2016;Other;Total;Median;5 587 ;4 943 ;5 833 ; 890
Midlands;2016;Other;Total;1 Quantile;4 642 ;4 224 ;4 946 ; 722
Midlands;2016;Other;Total;3 Quantile;6 914 ;6 344 ;7 142 ; 798
Midlands;2016;Total;Top, upper,  middle management;Median;9 284 ;7 793 ;9 820 ;2 027
Midlands;2016;Total;Top, upper,  middle management;1 Quantile;7 059 ;6 000 ;7 529 ;1 529
Midlands;2016;Total;Top, upper,  middle management;3 Quantile;12 094 ;9 955 ;12 745 ;2 790
Midlands;2016;Swiss;Top, upper,  middle management;Median;9 240 ;7 781 ;9 772 ;1 991
Midlands;2016;Swiss;Top, upper,  middle management;1 Quantile;7 096 ;6 046 ;7 552 ;1 506
Midlands;2016;Swiss;Top, upper,  middle management;3 Quantile;11 953 ;9 751 ;12 578 ;2 827
Midlands;2016;Other;Top, upper,  middle management;Median;9 706 ;7 845 ;10 348 ;2 503
Midlands;2016;Other;Top, upper,  middle management;1 Quantile;6 775 ;5 771 ;7 317 ;1 546
Midlands;2016;Other;Top, upper,  middle management;3 Quantile;13 354 ;10 927 ;13 937 ;3 010
Midlands;2016;Total;Lower management;Median;7 253 ;6 504 ;7 583 ;1 079
Midlands;2016;Total;Lower management;1 Quantile;5 855 ;5 283 ;6 190 ; 907
Midlands;2016;Total;Lower management;3 Quantile;8 998 ;8 047 ;9 388 ;1 341
Midlands;2016;Swiss;Lower management;Median;7 311 ;6 490 ;7 678 ;1 188
Midlands;2016;Swiss;Lower management;1 Quantile;5 983 ;5 369 ;6 345 ; 976
Midlands;2016;Swiss;Lower management;3 Quantile;8 936 ;7 937 ;9 369 ;1 432
Midlands;2016;Other;Lower management;Median;6 978 ;6 697 ;7 146 ;#WERT!
Midlands;2016;Other;Lower management;1 Quantile;5 315 ;4 906 ;5 445 ;#WERT!
Midlands;2016;Other;Lower management;3 Quantile;9 359 ;9 031 ;9 461 ;#WERT!
Midlands;2016;Total;Lowest management;Median;6 683 ;6 074 ;6 921 ; 847
Midlands;2016;Total;Lowest management;1 Quantile;5 673 ;4 957 ;5 972 ;1 015
Midlands;2016;Total;Lowest management;3 Quantile;8 060 ;7 308 ;8 460 ;1 152
Midlands;2016;Swiss;Lowest management;Median;6 726 ;6 094 ;7 007 ; 913
Midlands;2016;Swiss;Lowest management;1 Quantile;5 721 ;5 001 ;6 065 ;1 064
Midlands;2016;Swiss;Lowest management;3 Quantile;8 098 ;7 271 ;8 587 ;1 316
Midlands;2016;Other;Lowest management;Median;6 458 ;5 914 ;6 634 ; 720
Midlands;2016;Other;Lowest management;1 Quantile;5 485 ;4 774 ;5 725 ; 951
Midlands;2016;Other;Lowest management;3 Quantile;7 880 ;7 530 ;7 995 ; 465
Midlands;2016;Total;No management;Median;5 803 ;5 350 ;6 049 ; 699
Midlands;2016;Total;No management;1 Quantile;4 856 ;4 498 ;5 167 ; 669
Midlands;2016;Total;No management;3 Quantile;7 010 ;6 473 ;7 366 ; 893
Midlands;2016;Swiss;No management;Median;5 972 ;5 533 ;6 277 ; 744
Midlands;2016;Swiss;No management;1 Quantile;5 022 ;4 656 ;5 364 ; 708
Midlands;2016;Swiss;No management;3 Quantile;7 221 ;6 596 ;7 724 ;1 128
Midlands;2016;Other;No management;Median;5 377 ;4 775 ;5 613 ; 838
Midlands;2016;Other;No management;1 Quantile;4 506 ;4 133 ;4 831 ; 698
Midlands;2016;Other;No management;3 Quantile;6 419 ;5 919 ;6 607 ; 688
Midlands;2014;Total;Total;Median;6 112 ;5 533 ;6 429 ; 896
Midlands;2014;Total;Total;1 Quantile;5 053 ;4 543 ;5 405 ; 862
Midlands;2014;Total;Total;3 Quantile;7 604 ;6 747 ;8 159 ;1 412
Midlands;2014;Swiss;Total;Median;6 291 ;5 698 ;6 707 ;1 009
Midlands;2014;Swiss;Total;1 Quantile;5 228 ;4 695 ;5 647 ; 952
Midlands;2014;Swiss;Total;3 Quantile;7 869 ;6 867 ;8 523 ;1 656
Midlands;2014;Other;Total;Median;5 533 ;4 889 ;5 769 ; 880
Midlands;2014;Other;Total;1 Quantile;4 628 ;4 158 ;4 938 ; 780
Midlands;2014;Other;Total;3 Quantile;6 710 ;6 157 ;6 923 ; 766
Midlands;2014;Total;Top, upper,  middle management;Median;9 204 ;7 480 ;9 760 ;2 280
Midlands;2014;Total;Top, upper,  middle management;1 Quantile;7 000 ;5 571 ;7 460 ;1 889
Midlands;2014;Total;Top, upper,  middle management;3 Quantile;11 917 ;9 670 ;12 356 ;2 686
Midlands;2014;Swiss;Top, upper,  middle management;Median;9 134 ;7 410 ;9 709 ;2 299
Midlands;2014;Swiss;Top, upper,  middle management;1 Quantile;7 001 ;5 571 ;7 489 ;1 918
Midlands;2014;Swiss;Top, upper,  middle management;3 Quantile;11 818 ;9 513 ;12 297 ;2 784
Midlands;2014;Other;Top, upper,  middle management;Median;9 627 ;7 937 ;10 274 ;#WERT!
Midlands;2014;Other;Top, upper,  middle management;1 Quantile;6 708 ;5 527 ;7 294 ;#WERT!
Midlands;2014;Other;Top, upper,  middle management;3 Quantile;12 564 ;11 115 ;12 980 ;#WERT!
Midlands;2014;Total;Lower management;Median;7 153 ;6 356 ;7 504 ;1 148
Midlands;2014;Total;Lower management;1 Quantile;5 859 ;5 181 ;6 188 ;1 007
Midlands;2014;Total;Lower management;3 Quantile;8 775 ;7 796 ;9 093 ;1 297
Midlands;2014;Swiss;Lower management;Median;7 224 ;6 359 ;7 648 ;1 289
Midlands;2014;Swiss;Lower management;1 Quantile;6 010 ;5 254 ;6 314 ;1 060
Midlands;2014;Swiss;Lower management;3 Quantile;8 782 ;7 710 ;9 149 ;1 439
Midlands;2014;Other;Lower management;Median;6 834 ;6 344 ;6 976 ;#WERT!
Midlands;2014;Other;Lower management;1 Quantile;5 256 ;4 786 ;5 473 ;#WERT!
Midlands;2014;Other;Lower management;3 Quantile;8 715 ;8 254 ;8 883 ;#WERT!
Midlands;2014;Total;Lowest management;Median;6 697 ;6 064 ;6 888 ; 824
Midlands;2014;Total;Lowest management;1 Quantile;5 628 ;4 934 ;5 981 ;1 047
Midlands;2014;Total;Lowest management;3 Quantile;7 968 ;7 370 ;8 210 ; 840
Midlands;2014;Swiss;Lowest management;Median;6 746 ;6 067 ;6 984 ; 917
Midlands;2014;Swiss;Lowest management;1 Quantile;5 676 ;4 961 ;6 051 ;1 090
Midlands;2014;Swiss;Lowest management;3 Quantile;8 039 ;7 379 ;8 342 ; 963
Midlands;2014;Other;Lowest management;Median;6 406 ;6 032 ;6 534 ; 502
Midlands;2014;Other;Lowest management;1 Quantile;5 408 ;4 798 ;5 710 ; 912
Midlands;2014;Other;Lowest management;3 Quantile;7 596 ;7 292 ;7 649 ; 357
Midlands;2014;Total;No management;Median;5 773 ;5 319 ;5 987 ; 668
Midlands;2014;Total;No management;1 Quantile;4 818 ;4 416 ;5 135 ; 719
Midlands;2014;Total;No management;3 Quantile;6 825 ;6 386 ;7 119 ; 733
Midlands;2014;Swiss;No management;Median;5 926 ;5 510 ;6 165 ; 655
Midlands;2014;Swiss;No management;1 Quantile;4 981 ;4 565 ;5 325 ; 760
Midlands;2014;Swiss;No management;3 Quantile;7 029 ;6 531 ;7 436 ; 905
Midlands;2014;Other;No management;Median;5 326 ;4 711 ;5 558 ; 847
Midlands;2014;Other;No management;1 Quantile;4 471 ;4 066 ;4 788 ; 722
Midlands;2014;Other;No management;3 Quantile;6 245 ;5 765 ;6 407 ; 642
Midlands;2012;Total;Total;Median;6 026 ;5 236 ;6 446 ;1 210
Midlands;2012;Total;Total;1 Quantile;4 835 ;4 275 ;5 295 ;1 020
Midlands;2012;Total;Total;3 Quantile;7 713 ;6 662 ;8 341 ;1 679
Midlands;2012;Swiss;Total;Median;6 234 ;5 403 ;6 737 ;1 334
Midlands;2012;Swiss;Total;1 Quantile;4 993 ;4 385 ;5 500 ;1 115
Midlands;2012;Swiss;Total;3 Quantile;7 976 ;6 765 ;8 685 ;1 920
Midlands;2012;Other;Total;Median;5 459 ;4 685 ;5 753 ;1 068
Midlands;2012;Other;Total;1 Quantile;4 440 ;3 982 ;4 833 ; 851
Midlands;2012;Other;Total;3 Quantile;6 752 ;6 071 ;6 994 ; 923
Midlands;2012;Total;Top, upper,  middle management;Median;9 140 ;7 085 ;9 756 ;2 671
Midlands;2012;Total;Top, upper,  middle management;1 Quantile;6 531 ;4 905 ;7 137 ;2 232
Midlands;2012;Total;Top, upper,  middle management;3 Quantile;12 304 ;9 665 ;12 999 ;3 334
Midlands;2012;Swiss;Top, upper,  middle management;Median;9 161 ;7 010 ;9 802 ;2 792
Midlands;2012;Swiss;Top, upper,  middle management;1 Quantile;6 578 ;4 814 ;7 220 ;2 406
Midlands;2012;Swiss;Top, upper,  middle management;3 Quantile;12 214 ;9 392 ;12 968 ;3 576
Midlands;2012;Other;Top, upper,  middle management;Median;8 981 ;7 720 ;9 530 ;1 810
Midlands;2012;Other;Top, upper,  middle management;1 Quantile;6 348 ;5 180 ;6 664 ;1 484
Midlands;2012;Other;Top, upper,  middle management;3 Quantile;12 805 ;11 566 ;13 207 ;1 641
Midlands;2012;Total;Lower management;Median;7 225 ;6 349 ;7 570 ;1 221
Midlands;2012;Total;Lower management;1 Quantile;5 850 ;5 121 ;6 270 ;1 149
Midlands;2012;Total;Lower management;3 Quantile;8 806 ;7 843 ;9 104 ;1 261
Midlands;2012;Swiss;Lower management;Median;7 258 ;6 327 ;7 607 ;1 280
Midlands;2012;Swiss;Lower management;1 Quantile;5 938 ;5 095 ;6 382 ;1 287
Midlands;2012;Swiss;Lower management;3 Quantile;8 723 ;7 718 ;9 044 ;1 326
Midlands;2012;Other;Lower management;Median;7 076 ;6 500 ;7 317 ; 817
Midlands;2012;Other;Lower management;1 Quantile;5 553 ;5 140 ;5 757 ; 617
Midlands;2012;Other;Lower management;3 Quantile;9 214 ;8 711 ;9 370 ; 659
Midlands;2012;Total;Lowest management;Median;6 460 ;5 727 ;6 756 ;1 029
Midlands;2012;Total;Lowest management;1 Quantile;5 427 ;4 643 ;5 780 ;1 137
Midlands;2012;Total;Lowest management;3 Quantile;7 907 ;7 015 ;8 221 ;1 206
Midlands;2012;Swiss;Lowest management;Median;6 533 ;5 742 ;6 862 ;1 120
Midlands;2012;Swiss;Lowest management;1 Quantile;5 510 ;4 687 ;5 885 ;1 198
Midlands;2012;Swiss;Lowest management;3 Quantile;7 979 ;6 997 ;8 373 ;1 376
Midlands;2012;Other;Lowest management;Median;6 236 ;5 624 ;6 390 ; 766
Midlands;2012;Other;Lowest management;1 Quantile;5 137 ;4 455 ;5 429 ; 974
Midlands;2012;Other;Lowest management;3 Quantile;7 538 ;7 092 ;7 671 ; 579
Midlands;2012;Total;No management;Median;5 583 ;4 984 ;5 904 ; 920
Midlands;2012;Total;No management;1 Quantile;4 584 ;4 188 ;4 987 ; 799
Midlands;2012;Total;No management;3 Quantile;6 798 ;6 215 ;7 126 ; 911
Midlands;2012;Swiss;No management;Median;5 748 ;5 159 ;6 135 ; 976
Midlands;2012;Swiss;No management;1 Quantile;4 725 ;4 300 ;5 160 ; 860
Midlands;2012;Swiss;No management;3 Quantile;7 023 ;6 366 ;7 456 ;1 090
Midlands;2012;Other;No management;Median;5 165 ;4 502 ;5 481 ; 979
Midlands;2012;Other;No management;1 Quantile;4 286 ;3 894 ;4 642 ; 748
Midlands;2012;Other;No management;3 Quantile;6 176 ;5 540 ;6 346 ; 806
North West;2020;Total;Total;Median;6 575;6 053;6 860; 807
North West;2020;Total;Total;1 Quantile;5 228;4 788;5 533; 745
North West;2020;Total;Total;3 Quantile;8 815;7 876;9 428;1 552
North West;2020;Swiss;Total;Median;6 733;6 024;7 301;1 277
North West;2020;Swiss;Total;1 Quantile;5 360;4 875;5 836; 961
North West;2020;Swiss;Total;3 Quantile;8 810;7 550;9 754;2 204
North West;2020;Other;Total;Median;6 318;6 097;6 393; 296
North West;2020;Other;Total;1 Quantile;5 048;4 642;5 262; 620
North West;2020;Other;Total;3 Quantile;8 842;8 898;8 812;- 86
North West;2020;Total;Top, upper,  middle management;Median;10 832;9 283;11 294;2 011
North West;2020;Total;Top, upper,  middle management;1 Quantile;7 663;6 231;8 201;1 970
North West;2020;Total;Top, upper,  middle management;3 Quantile;16 301;15 357;16 554;1 197
North West;2020;Swiss;Top, upper,  middle management;Median;9 790;7 906;10 458;2 552
North West;2020;Swiss;Top, upper,  middle management;1 Quantile;7 331;5 673;7 973;2 300
North West;2020;Swiss;Top, upper,  middle management;3 Quantile;13 818;11 108;14 807;3 699
North West;2020;Other;Top, upper,  middle management;Median;14 897;15 781;14 515;-1 266
North West;2020;Other;Top, upper,  middle management;1 Quantile;9 284;9 527;9 226;- 301
North West;2020;Other;Top, upper,  middle management;3 Quantile;20 650;21 228;20 338;- 890
North West;2020;Total;Lower management;Median;8 775;7 921;9 197;1 276
North West;2020;Total;Lower management;1 Quantile;6 896;6 281;7 144; 863
North West;2020;Total;Lower management;3 Quantile;11 444;10 637;11 807;1 170
North West;2020;Swiss;Lower management;Median;8 292;7 461;8 820;1 359
North West;2020;Swiss;Lower management;1 Quantile;6 729;6 040;7 121;1 081
North West;2020;Swiss;Lower management;3 Quantile;10 690;9 189;11 311;2 122
North West;2020;Other;Lower management;Median;9 657;9 583;9 682; 99
North West;2020;Other;Lower management;1 Quantile;7 206;6 986;7 289; 303
North West;2020;Other;Lower management;3 Quantile;12 743;12 858;12 677;- 181
North West;2020;Total;Lowest management;Median;7 425;6 841;7 669; 828
North West;2020;Total;Lowest management;1 Quantile;6 041;5 395;6 309; 914
North West;2020;Total;Lowest management;3 Quantile;9 607;8 890;9 947;1 057
North West;2020;Swiss;Lowest management;Median;7 206;6 447;7 645;1 198
North West;2020;Swiss;Lowest management;1 Quantile;6 011;5 293;6 306;1 013
North West;2020;Swiss;Lowest management;3 Quantile;9 115;8 164;9 644;1 480
North West;2020;Other;Lowest management;Median;7 763;7 739;7 780; 41
North West;2020;Other;Lowest management;1 Quantile;6 185;5 705;6 360; 655
North West;2020;Other;Lowest management;3 Quantile;10 519;10 451;10 564; 113
North West;2020;Total;No management;Median;5 964;5 625;6 142; 517
North West;2020;Total;No management;1 Quantile;4 920;4 633;5 169; 536
North West;2020;Total;No management;3 Quantile;7 326;7 049;7 519; 470
North West;2020;Swiss;No management;Median;6 115;5 730;6 437; 707
North West;2020;Swiss;No management;1 Quantile;5 054;4 741;5 356; 615
North West;2020;Swiss;No management;3 Quantile;7 452;6 968;7 881; 913
North West;2020;Other;No management;Median;5 791;5 405;5 904; 499
North West;2020;Other;No management;1 Quantile;4 757;4 457;4 999; 542
North West;2020;Other;No management;3 Quantile;7 142;7 256;7 104;- 152
North West;2018;Total;Total;Median;6 492;5 884;6 814; 930
North West;2018;Total;Total;1 Quantile;5 117;4 665;5 447; 782
North West;2018;Total;Total;3 Quantile;8 666;7 629;9 312;1 683
North West;2018;Swiss;Total;Median;6 664;5 882;7 246;1 364
North West;2018;Swiss;Total;1 Quantile;5 263;4 745;5 778;1 033
North West;2018;Swiss;Total;3 Quantile;8 710;7 389;9 683;2 294
North West;2018;Other;Total;Median;6 222;5 885;6 337; 452
North West;2018;Other;Total;1 Quantile;4 928;4 517;5 155; 638
North West;2018;Other;Total;3 Quantile;8 559;8 309;8 678; 369
North West;2018;Total;Top, upper,  middle management;Median;10 317;8 970;10 758;1 788
North West;2018;Total;Top, upper,  middle management;1 Quantile;7 711;6 504;8 243;1 739
North West;2018;Total;Top, upper,  middle management;3 Quantile;15 176;14 426;15 420; 994
North West;2018;Swiss;Top, upper,  middle management;Median;9 776;8 249;10 125;1 876
North West;2018;Swiss;Top, upper,  middle management;1 Quantile;7 511;5 977;8 088;2 111
North West;2018;Swiss;Top, upper,  middle management;3 Quantile;13 404;11 111;14 083;2 972
North West;2018;Other;Top, upper,  middle management;Median;12 857;13 583;12 636;- 947
North West;2018;Other;Top, upper,  middle management;1 Quantile;8 693;7 368;8 995;1 627
North West;2018;Other;Top, upper,  middle management;3 Quantile;18 477;18 857;18 290;- 567
North West;2018;Total;Lower management;Median;8 211;7 440;8 701;1 261
North West;2018;Total;Lower management;1 Quantile;6 650;5 663;7 081;1 418
North West;2018;Total;Lower management;3 Quantile;10 714;9 518;11 135;1 617
North West;2018;Swiss;Lower management;Median;7 985;7 016;8 584;1 568
North West;2018;Swiss;Lower management;1 Quantile;6 490;5 162;7 010;1 848
North West;2018;Swiss;Lower management;3 Quantile;10 212;8 501;10 853;2 352
North West;2018;Other;Lower management;Median;8 866;8 662;8 953; 291
North West;2018;Other;Lower management;1 Quantile;7 068;6 606;7 174; 568
North West;2018;Other;Lower management;3 Quantile;11 796;12 250;11 692;- 558
North West;2018;Total;Lowest management;Median;7 274;6 630;7 630;1 000
North West;2018;Total;Lowest management;1 Quantile;5 996;5 340;6 330; 990
North West;2018;Total;Lowest management;3 Quantile;9 420;8 378;9 939;1 561
North West;2018;Swiss;Lowest management;Median;7 251;6 420;7 897;1 477
North West;2018;Swiss;Lowest management;1 Quantile;6 019;5 197;6 550;1 353
North West;2018;Swiss;Lowest management;3 Quantile;9 204;7 959;9 846;1 887
North West;2018;Other;Lowest management;Median;7 353;7 313;7 356; 43
North West;2018;Other;Lowest management;1 Quantile;5 986;5 753;6 113; 360
North West;2018;Other;Lowest management;3 Quantile;9 925;9 711;10 078; 367
North West;2018;Total;No management;Median;5 872;5 506;6 079; 573
North West;2018;Total;No management;1 Quantile;4 793;4 510;5 031; 521
North West;2018;Total;No management;3 Quantile;7 223;6 880;7 428; 548
North West;2018;Swiss;No management;Median;6 024;5 595;6 354; 759
North West;2018;Swiss;No management;1 Quantile;4 918;4 633;5 277; 644
North West;2018;Swiss;No management;3 Quantile;7 325;6 802;7 738; 936
North West;2018;Other;No management;Median;5 697;5 281;5 827; 546
North West;2018;Other;No management;1 Quantile;4 642;4 333;4 832; 499
North West;2018;Other;No management;3 Quantile;7 094;7 108;7 084;- 24
North West;2016;Total;Total;Median;6 498 ;5 918 ;6 848 ; 930
North West;2016;Total;Total;1 Quantile;5 200 ;4 712 ;5 532 ; 820
North West;2016;Total;Total;3 Quantile;8 573 ;7 560 ;9 220 ;1 660
North West;2016;Swiss;Total;Median;6 644 ;5 913 ;7 221 ;1 308
North West;2016;Swiss;Total;1 Quantile;5 331 ;4 789 ;5 833 ;1 044
North West;2016;Swiss;Total;3 Quantile;8 562 ;7 322 ;9 468 ;2 146
North West;2016;Other;Total;Median;6 281 ;5 936 ;6 406 ; 470
North West;2016;Other;Total;1 Quantile;5 043 ;4 575 ;5 300 ; 725
North West;2016;Other;Total;3 Quantile;8 597 ;8 220 ;8 773 ; 553
North West;2016;Total;Top, upper,  middle management;Median;10 500 ;8 980 ;11 009 ;2 029
North West;2016;Total;Top, upper,  middle management;1 Quantile;7 889 ;6 610 ;8 372 ;1 762
North West;2016;Total;Top, upper,  middle management;3 Quantile;14 990 ;13 371 ;15 484 ;2 113
North West;2016;Swiss;Top, upper,  middle management;Median;9 856 ;8 125 ;10 359 ;2 234
North West;2016;Swiss;Top, upper,  middle management;1 Quantile;7 582 ;6 190 ;8 155 ;1 965
North West;2016;Swiss;Top, upper,  middle management;3 Quantile;13 088 ;10 896 ;13 850 ;2 954
North West;2016;Other;Top, upper,  middle management;Median;13 227 ;12 812 ;13 342 ;#WERT!
North West;2016;Other;Top, upper,  middle management;1 Quantile;8 721 ;7 619 ;8 881 ;#WERT!
North West;2016;Other;Top, upper,  middle management;3 Quantile;18 108 ;17 261 ;18 517 ;#WERT!
North West;2016;Total;Lower management;Median;8 527 ;7 524 ;9 043 ;1 519
North West;2016;Total;Lower management;1 Quantile;6 607 ;5 940 ;6 932 ; 992
North West;2016;Total;Lower management;3 Quantile;10 921 ;9 859 ;11 252 ;1 393
North West;2016;Swiss;Lower management;Median;8 156 ;7 147 ;8 862 ;1 715
North West;2016;Swiss;Lower management;1 Quantile;6 521 ;5 777 ;6 944 ;1 167
North West;2016;Swiss;Lower management;3 Quantile;10 314 ;8 790 ;10 821 ;2 031
North West;2016;Other;Lower management;Median;9 171 ;8 836 ;9 258 ;#WERT!
North West;2016;Other;Lower management;1 Quantile;6 821 ;6 233 ;6 883 ;#WERT!
North West;2016;Other;Lower management;3 Quantile;12 104 ;12 299 ;12 017 ;#WERT!
North West;2016;Total;Lowest management;Median;7 350 ;6 860 ;7 647 ; 787
North West;2016;Total;Lowest management;1 Quantile;6 011 ;5 416 ;6 264 ; 848
North West;2016;Total;Lowest management;3 Quantile;9 409 ;8 500 ;9 866 ;1 366
North West;2016;Swiss;Lowest management;Median;7 311 ;6 617 ;7 720 ;1 103
North West;2016;Swiss;Lowest management;1 Quantile;5 993 ;5 362 ;6 292 ; 930
North West;2016;Swiss;Lowest management;3 Quantile;9 074 ;8 027 ;9 712 ;1 685
North West;2016;Other;Lowest management;Median;7 439 ;7 340 ;7 502 ; 162
North West;2016;Other;Lowest management;1 Quantile;6 060 ;5 668 ;6 190 ; 522
North West;2016;Other;Lowest management;3 Quantile;10 003 ;9 805 ;10 154 ; 349
North West;2016;Total;No management;Median;5 932 ;5 521 ;6 145 ; 624
North West;2016;Total;No management;1 Quantile;4 890 ;4 538 ;5 190 ; 652
North West;2016;Total;No management;3 Quantile;7 274 ;6 890 ;7 523 ; 633
North West;2016;Swiss;No management;Median;6 068 ;5 607 ;6 423 ; 816
North West;2016;Swiss;No management;1 Quantile;4 982 ;4 634 ;5 394 ; 760
North West;2016;Swiss;No management;3 Quantile;7 343 ;6 798 ;7 798 ;1 000
North West;2016;Other;No management;Median;5 751 ;5 360 ;5 871 ; 511
North West;2016;Other;No management;1 Quantile;4 792 ;4 409 ;5 020 ; 611
North West;2016;Other;No management;3 Quantile;7 169 ;7 131 ;7 189 ; 58
North West;2014;Total;Total;Median;6 451 ;5 830 ;6 811 ; 981
North West;2014;Total;Total;1 Quantile;5 158 ;4 637 ;5 492 ; 855
North West;2014;Total;Total;3 Quantile;8 502 ;7 464 ;9 090 ;1 626
North West;2014;Swiss;Total;Median;6 632 ;5 844 ;7 155 ;1 311
North West;2014;Swiss;Total;1 Quantile;5 279 ;4 729 ;5 751 ;1 022
North West;2014;Swiss;Total;3 Quantile;8 555 ;7 273 ;9 341 ;2 068
North West;2014;Other;Total;Median;6 190 ;5 794 ;6 322 ; 528
North West;2014;Other;Total;1 Quantile;4 975 ;4 439 ;5 222 ; 783
North West;2014;Other;Total;3 Quantile;8 404 ;8 047 ;8 588 ; 541
North West;2014;Total;Top, upper,  middle management;Median;10 321 ;8 641 ;10 833 ;2 192
North West;2014;Total;Top, upper,  middle management;1 Quantile;7 724 ;6 588 ;8 208 ;1 620
North West;2014;Total;Top, upper,  middle management;3 Quantile;14 613 ;12 630 ;15 120 ;2 490
North West;2014;Swiss;Top, upper,  middle management;Median;9 592 ;7 867 ;10 200 ;2 333
North West;2014;Swiss;Top, upper,  middle management;1 Quantile;7 480 ;6 190 ;7 944 ;1 754
North West;2014;Swiss;Top, upper,  middle management;3 Quantile;12 686 ;10 214 ;13 427 ;3 213
North West;2014;Other;Top, upper,  middle management;Median;13 742 ;13 247 ;13 979 ;#WERT!
North West;2014;Other;Top, upper,  middle management;1 Quantile;9 221 ;7 936 ;9 625 ;#WERT!
North West;2014;Other;Top, upper,  middle management;3 Quantile;18 676 ;18 377 ;18 838 ;#WERT!
North West;2014;Total;Lower management;Median;8 429 ;7 256 ;8 915 ;1 659
North West;2014;Total;Lower management;1 Quantile;6 593 ;5 778 ;7 098 ;1 320
North West;2014;Total;Lower management;3 Quantile;10 534 ;9 373 ;10 894 ;1 521
North West;2014;Swiss;Lower management;Median;8 092 ;6 947 ;8 725 ;1 778
North West;2014;Swiss;Lower management;1 Quantile;6 474 ;5 660 ;7 065 ;1 405
North West;2014;Swiss;Lower management;3 Quantile;9 984 ;8 388 ;10 534 ;2 146
North West;2014;Other;Lower management;Median;9 160 ;8 500 ;9 312 ;#WERT!
North West;2014;Other;Lower management;1 Quantile;6 928 ;6 170 ;7 245 ;#WERT!
North West;2014;Other;Lower management;3 Quantile;11 677 ;11 651 ;11 688 ;#WERT!
North West;2014;Total;Lowest management;Median;7 068 ;6 576 ;7 301 ; 725
North West;2014;Total;Lowest management;1 Quantile;5 742 ;5 040 ;6 047 ;1 007
North West;2014;Total;Lowest management;3 Quantile;8 939 ;8 082 ;9 318 ;1 236
North West;2014;Swiss;Lowest management;Median;7 058 ;6 442 ;7 308 ; 866
North West;2014;Swiss;Lowest management;1 Quantile;5 672 ;4 941 ;6 104 ;1 163
North West;2014;Swiss;Lowest management;3 Quantile;8 733 ;7 777 ;9 302 ;1 525
North West;2014;Other;Lowest management;Median;7 103 ;6 954 ;7 210 ; 256
North West;2014;Other;Lowest management;1 Quantile;5 832 ;5 197 ;5 946 ; 749
North West;2014;Other;Lowest management;3 Quantile;9 330 ;9 243 ;9 390 ; 147
North West;2014;Total;No management;Median;5 856 ;5 417 ;6 073 ; 656
North West;2014;Total;No management;1 Quantile;4 819 ;4 439 ;5 120 ; 681
North West;2014;Total;No management;3 Quantile;7 156 ;6 768 ;7 385 ; 617
North West;2014;Swiss;No management;Median;5 972 ;5 498 ;6 320 ; 822
North West;2014;Swiss;No management;1 Quantile;4 914 ;4 555 ;5 279 ; 724
North West;2014;Swiss;No management;3 Quantile;7 250 ;6 695 ;7 651 ; 956
North West;2014;Other;No management;Median;5 706 ;5 232 ;5 834 ; 602
North West;2014;Other;No management;1 Quantile;4 700 ;4 250 ;4 959 ; 709
North West;2014;Other;No management;3 Quantile;7 017 ;6 965 ;7 038 ; 73
North West;2012;Total;Total;Median;6 440 ;5 690 ;6 874 ;1 184
North West;2012;Total;Total;1 Quantile;5 019 ;4 427 ;5 429 ;1 002
North West;2012;Total;Total;3 Quantile;8 730 ;7 495 ;9 455 ;1 960
North West;2012;Swiss;Total;Median;6 586 ;5 671 ;7 230 ;1 559
North West;2012;Swiss;Total;1 Quantile;5 114 ;4 493 ;5 674 ;1 181
North West;2012;Swiss;Total;3 Quantile;8 766 ;7 234 ;9 722 ;2 488
North West;2012;Other;Total;Median;6 201 ;5 745 ;6 343 ; 598
North West;2012;Other;Total;1 Quantile;4 895 ;4 324 ;5 175 ; 851
North West;2012;Other;Total;3 Quantile;8 665 ;8 210 ;8 905 ; 695
North West;2012;Total;Top, upper,  middle management;Median;10 400 ;8 363 ;11 115 ;2 752
North West;2012;Total;Top, upper,  middle management;1 Quantile;7 366 ;5 758 ;7 928 ;2 170
North West;2012;Total;Top, upper,  middle management;3 Quantile;15 543 ;13 097 ;16 139 ;3 042
North West;2012;Swiss;Top, upper,  middle management;Median;9 675 ;7 583 ;10 317 ;2 734
North West;2012;Swiss;Top, upper,  middle management;1 Quantile;7 049 ;5 260 ;7 643 ;2 383
North West;2012;Swiss;Top, upper,  middle management;3 Quantile;13 724 ;10 317 ;14 645 ;4 328
North West;2012;Other;Top, upper,  middle management;Median;14 206 ;13 317 ;14 393 ;#WERT!
North West;2012;Other;Top, upper,  middle management;1 Quantile;9 015 ;7 904 ;9 478 ;#WERT!
North West;2012;Other;Top, upper,  middle management;3 Quantile;19 375 ;18 350 ;19 835 ;#WERT!
North West;2012;Total;Lower management;Median;8 496 ;7 002 ;9 096 ;2 094
North West;2012;Total;Lower management;1 Quantile;6 502 ;5 355 ;7 161 ;1 806
North West;2012;Total;Lower management;3 Quantile;10 784 ;9 290 ;11 185 ;1 895
North West;2012;Swiss;Lower management;Median;8 118 ;6 651 ;8 872 ;2 221
