Region;Year;Nationality;Professional position;Statistics;Total;Women;Men;Gender Pay Gap
Lake Geneva;2018;Swiss;Lower management;Median;8 770;8 023;9 278;1 255
Lake Geneva;2018;Swiss;Lower management;1 Quantile;6 614;6 150;6 987; 837
Lake Geneva;2018;Swiss;Lower management;3 Quantile;11 555;10 745;12 000;1 255
Lake Geneva;2018;Other;Lower management;Median;9 363;9 078;9 520; 442
Lake Geneva;2018;Other;Lower management;1 Quantile;6 674;6 397;6 770; 373
Lake Geneva;2018;Other;Lower management;3 Quantile;12 890;12 305;13 150; 845
Lake Geneva;2018;Total;Lowest management;Median;7 118;6 982;7 223; 241
Lake Geneva;2018;Total;Lowest management;1 Quantile;5 693;5 404;5 847; 443
Lake Geneva;2018;Total;Lowest management;3 Quantile;9 286;9 088;9 394; 306
Lake Geneva;2018;Swiss;Lowest management;Median;7 191;6 926;7 446; 520
Lake Geneva;2018;Swiss;Lowest management;1 Quantile;5 857;5 489;6 030; 541
Lake Geneva;2018;Swiss;Lowest management;3 Quantile;9 195;8 708;9 467; 759
Lake Geneva;2018;Other;Lowest management;Median;7 043;7 059;7 023;- 36
Lake Geneva;2018;Other;Lowest management;1 Quantile;5 503;5 204;5 618; 414
Lake Geneva;2018;Other;Lowest management;3 Quantile;9 398;9 544;9 288;- 256
Lake Geneva;2018;Total;No management;Median;5 582;5 405;5 678; 273
Lake Geneva;2018;Total;No management;1 Quantile;4 617;4 385;4 783; 398
Lake Geneva;2018;Total;No management;3 Quantile;6 898;6 833;6 939; 106
Lake Geneva;2018;Swiss;No management;Median;5 812;5 635;5 984; 349
Lake Geneva;2018;Swiss;No management;1 Quantile;4 834;4 646;4 996; 350
Lake Geneva;2018;Swiss;No management;3 Quantile;7 188;6 991;7 375; 384
Lake Geneva;2018;Other;No management;Median;5 393;5 106;5 511; 405
Lake Geneva;2018;Other;No management;1 Quantile;4 436;4 146;4 630; 484
Lake Geneva;2018;Other;No management;3 Quantile;6 600;6 596;6 602; 6
Lake Geneva;2016;Total;Total;Median;6 184 ;5 777 ;6 414 ; 637
Lake Geneva;2016;Total;Total;1 Quantile;4 899 ;4 517 ;5 157 ; 640
Lake Geneva;2016;Total;Total;3 Quantile;8 229 ;7 608 ;8 699 ;1 091
Lake Geneva;2016;Swiss;Total;Median;6 506 ;5 996 ;6 956 ; 960
Lake Geneva;2016;Swiss;Total;1 Quantile;5 178 ;4 784 ;5 518 ; 734
Lake Geneva;2016;Swiss;Total;3 Quantile;8 613 ;7 696 ;9 389 ;1 693
Lake Geneva;2016;Other;Total;Median;5 848 ;5 428 ;6 014 ; 586
Lake Geneva;2016;Other;Total;1 Quantile;4 651 ;4 234 ;4 895 ; 661
Lake Geneva;2016;Other;Total;3 Quantile;7 778 ;7 500 ;7 970 ; 470
Lake Geneva;2016;Total;Top, upper,  middle management;Median;10 520 ;8 953 ;11 141 ;2 188
Lake Geneva;2016;Total;Top, upper,  middle management;1 Quantile;7 419 ;6 374 ;7 837 ;1 463
Lake Geneva;2016;Total;Top, upper,  middle management;3 Quantile;15 381 ;12 929 ;16 222 ;3 293
Lake Geneva;2016;Swiss;Top, upper,  middle management;Median;10 144 ;8 615 ;10 808 ;2 193
Lake Geneva;2016;Swiss;Top, upper,  middle management;1 Quantile;7 283 ;6 190 ;7 782 ;1 592
Lake Geneva;2016;Swiss;Top, upper,  middle management;3 Quantile;14 364 ;11 825 ;15 134 ;3 309
Lake Geneva;2016;Other;Top, upper,  middle management;Median;11 250 ;9 892 ;12 000 ;2 108
Lake Geneva;2016;Other;Top, upper,  middle management;1 Quantile;7 619 ;6 889 ;8 000 ;1 111
Lake Geneva;2016;Other;Top, upper,  middle management;3 Quantile;16 988 ;14 561 ;18 126 ;3 565
Lake Geneva;2016;Total;Lower management;Median;8 693 ;8 077 ;9 006 ; 929
Lake Geneva;2016;Total;Lower management;1 Quantile;6 631 ;6 136 ;6 922 ; 786
Lake Geneva;2016;Total;Lower management;3 Quantile;11 404 ;10 677 ;11 843 ;1 166
Lake Geneva;2016;Swiss;Lower management;Median;8 609 ;7 988 ;8 981 ; 993
Lake Geneva;2016;Swiss;Lower management;1 Quantile;6 634 ;6 065 ;7 035 ; 970
Lake Geneva;2016;Swiss;Lower management;3 Quantile;11 138 ;10 404 ;11 528 ;1 124
Lake Geneva;2016;Other;Lower management;Median;8 761 ;8 169 ;9 023 ; 854
Lake Geneva;2016;Other;Lower management;1 Quantile;6 629 ;6 330 ;6 786 ; 456
Lake Geneva;2016;Other;Lower management;3 Quantile;11 832 ;10 914 ;12 310 ;1 396
Lake Geneva;2016;Total;Lowest management;Median;6 976 ;6 777 ;7 080 ; 303
Lake Geneva;2016;Total;Lowest management;1 Quantile;5 577 ;5 238 ;5 726 ; 488
Lake Geneva;2016;Total;Lowest management;3 Quantile;8 970 ;8 738 ;9 124 ; 386
Lake Geneva;2016;Swiss;Lowest management;Median;7 090 ;6 704 ;7 346 ; 642
Lake Geneva;2016;Swiss;Lowest management;1 Quantile;5 714 ;5 347 ;5 974 ; 627
Lake Geneva;2016;Swiss;Lowest management;3 Quantile;8 945 ;8 498 ;9 255 ; 757
Lake Geneva;2016;Other;Lowest management;Median;6 829 ;6 920 ;6 807 ;- 113
Lake Geneva;2016;Other;Lowest management;1 Quantile;5 416 ;5 125 ;5 534 ; 409
Lake Geneva;2016;Other;Lowest management;3 Quantile;9 005 ;9 105 ;8 934 ;- 171
Lake Geneva;2016;Total;No management;Median;5 583 ;5 301 ;5 740 ; 439
Lake Geneva;2016;Total;No management;1 Quantile;4 588 ;4 309 ;4 810 ; 501
Lake Geneva;2016;Total;No management;3 Quantile;6 867 ;6 705 ;6 975 ; 270
Lake Geneva;2016;Swiss;No management;Median;5 837 ;5 576 ;6 049 ; 473
Lake Geneva;2016;Swiss;No management;1 Quantile;4 842 ;4 585 ;5 073 ; 488
Lake Geneva;2016;Swiss;No management;3 Quantile;7 164 ;6 891 ;7 389 ; 498
Lake Geneva;2016;Other;No management;Median;5 347 ;4 948 ;5 530 ; 582
Lake Geneva;2016;Other;No management;1 Quantile;4 383 ;4 044 ;4 633 ; 589
Lake Geneva;2016;Other;No management;3 Quantile;6 589 ;6 448 ;6 650 ; 202
Lake Geneva;2014;Total;Total;Median;6 118 ;5 663 ;6 366 ; 703
Lake Geneva;2014;Total;Total;1 Quantile;4 843 ;4 420 ;5 127 ; 707
Lake Geneva;2014;Total;Total;3 Quantile;8 126 ;7 485 ;8 588 ;1 103
Lake Geneva;2014;Swiss;Total;Median;6 500 ;5 896 ;6 960 ;1 064
Lake Geneva;2014;Swiss;Total;1 Quantile;5 159 ;4 702 ;5 571 ; 869
Lake Geneva;2014;Swiss;Total;3 Quantile;8 555 ;7 583 ;9 332 ;1 749
Lake Geneva;2014;Other;Total;Median;5 761 ;5 330 ;5 929 ; 599
Lake Geneva;2014;Other;Total;1 Quantile;4 588 ;4 160 ;4 832 ; 672
Lake Geneva;2014;Other;Total;3 Quantile;7 596 ;7 310 ;7 790 ; 480
Lake Geneva;2014;Total;Top, upper,  middle management;Median;10 344 ;9 143 ;10 923 ;1 780
Lake Geneva;2014;Total;Top, upper,  middle management;1 Quantile;7 702 ;6 946 ;8 000 ;1 054
Lake Geneva;2014;Total;Top, upper,  middle management;3 Quantile;14 620 ;12 155 ;15 407 ;3 252
Lake Geneva;2014;Swiss;Top, upper,  middle management;Median;9 999 ;8 893 ;10 588 ;1 695
Lake Geneva;2014;Swiss;Top, upper,  middle management;1 Quantile;7 640 ;6 908 ;7 877 ; 969
Lake Geneva;2014;Swiss;Top, upper,  middle management;3 Quantile;13 755 ;11 231 ;14 434 ;3 203
Lake Geneva;2014;Other;Top, upper,  middle management;Median;11 295 ;9 910 ;11 842 ;1 932
Lake Geneva;2014;Other;Top, upper,  middle management;1 Quantile;7 936 ;7 034 ;8 286 ;1 252
Lake Geneva;2014;Other;Top, upper,  middle management;3 Quantile;16 335 ;14 169 ;17 070 ;2 901
Lake Geneva;2014;Total;Lower management;Median;8 456 ;7 936 ;8 744 ; 808
Lake Geneva;2014;Total;Lower management;1 Quantile;6 417 ;6 000 ;6 659 ; 659
Lake Geneva;2014;Total;Lower management;3 Quantile;11 198 ;10 367 ;11 638 ;1 271
Lake Geneva;2014;Swiss;Lower management;Median;8 308 ;7 714 ;8 740 ;1 026
Lake Geneva;2014;Swiss;Lower management;1 Quantile;6 553 ;5 961 ;6 861 ; 900
Lake Geneva;2014;Swiss;Lower management;3 Quantile;10 842 ;9 825 ;11 270 ;1 445
Lake Geneva;2014;Other;Lower management;Median;8 615 ;8 304 ;8 744 ; 440
Lake Geneva;2014;Other;Lower management;1 Quantile;6 271 ;6 024 ;6 402 ; 378
Lake Geneva;2014;Other;Lower management;3 Quantile;11 775 ;11 021 ;12 224 ;1 203
Lake Geneva;2014;Total;Lowest management;Median;6 655 ;6 403 ;6 771 ; 368
Lake Geneva;2014;Total;Lowest management;1 Quantile;5 439 ;5 074 ;5 674 ; 600
Lake Geneva;2014;Total;Lowest management;3 Quantile;8 439 ;8 188 ;8 574 ; 386
Lake Geneva;2014;Swiss;Lowest management;Median;6 638 ;6 268 ;6 870 ; 602
Lake Geneva;2014;Swiss;Lowest management;1 Quantile;5 469 ;5 056 ;5 803 ; 747
Lake Geneva;2014;Swiss;Lowest management;3 Quantile;8 355 ;7 826 ;8 698 ; 872
Lake Geneva;2014;Other;Lowest management;Median;6 666 ;6 581 ;6 707 ; 126
Lake Geneva;2014;Other;Lowest management;1 Quantile;5 417 ;5 102 ;5 552 ; 450
Lake Geneva;2014;Other;Lowest management;3 Quantile;8 525 ;8 723 ;8 422 ;- 301
Lake Geneva;2014;Total;No management;Median;5 515 ;5 200 ;5 701 ; 501
Lake Geneva;2014;Total;No management;1 Quantile;4 485 ;4 199 ;4 727 ; 528
Lake Geneva;2014;Total;No management;3 Quantile;6 779 ;6 620 ;6 874 ; 254
Lake Geneva;2014;Swiss;No management;Median;5 798 ;5 489 ;6 091 ; 602
