Year;Region;Industry;professional position category;Gross Pay Total ;Gross Pay Women ;Gross Pay Men ;Gender Pay Gap;;;;;;;;;;;
2016;Midlands;Information and communication;Lowest management;8 573  ;7 427  ;8 899  ;1 472;;;;;;;;;;;
2016;Midlands;Financial and insurance services;Lowest management;8 031  ;7 582  ;8 559  ; 977;;;;;;;;;;;
2016;Midlands;Professional, scientific and technical services;Lowest management;6 907  ;6 565  ;7 136 ;#WERT!;;;;;;;;;;;
2016;Midlands;Other business services;Lowest management;5 535  ;4 936 ;5 724 ;#WERT!;;;;;;;;;;;
2016;Midlands;Health and social work;Lowest management;6 600  ;6 421  ;6 964  ; 543;;;;;;;;;;;
2016;Midlands;Arts, entertainment and recreation;Lowest management;6 313 ;6 117 ;6 499  ;#WERT!;;;;;;;;;;;
2016;Midlands;Other service activities Other service activities;Lowest management;6 428  ;6 137  ;6 868 ;#WERT!;;;;;;;;;;;
2016;Midlands;TOTAL;No management;5 956  ;5 546  ;6 196  ; 650;;;;;;;;;;;
2016;Midlands;SECTOR 2 PRODUCTION;No management;5 762  ;5 178  ;5 933  ; 755;;;;;;;;;;;
2016;Midlands;Mining and quarrying;No management;6 332  ;*;6 374  ;#WERT!;;;;;;;;;;;
2016;Midlands;Manufacturing/production of Goods;No management;5 744  ;5 110  ;6 025  ; 915;;;;;;;;;;;
2016;Midlands;"Water supply; sewage and waste disposal";No management;5 778  ;6 030  ;5 776  ;- 254;;;;;;;;;;;
2016;Midlands;Construction ;No management;5 739  ;5 597  ;5 741  ; 144;;;;;;;;;;;
2016;Midlands;SECTOR 3 SERVICES ;No management;6 071  ;5 672  ;6 547  ; 875;;;;;;;;;;;
2016;Midlands;"Wholesale and retail trade; repair of motor vehicles and motorcycles";No management;5 002  ;4 642  ;5 522  ; 880;;;;;;;;;;;
2016;Midlands;Transportation and storage;No management;6 189  ;5 919  ;6 402  ; 483;;;;;;;;;;;
2016;Midlands;Hotels and restaurants;No management;4 183  ;4 157  ;4 235  ; 78;;;;;;;;;;;
2016;Midlands;Information and communication;No management;8 628  ;7 067  ;9 332  ;2 265;;;;;;;;;;;
2016;Midlands;Financial and insurance services;No management;6 795  ;6 348  ;7 849  ;1 501;;;;;;;;;;;
2016;Midlands;Professional, scientific and technical services;No management;6 340  ;6 065  ;6 801  ; 736;;;;;;;;;;;
2016;Midlands;Other business services;No management;5 391  ;4 754  ;5 625  ; 871;;;;;;;;;;;
2016;Midlands;Health and social work;No management;5 783  ;5 711  ;6 149  ; 438;;;;;;;;;;;
2016;Midlands;Arts, entertainment and recreation;No management;5 612  ;5 402  ;5 763  ; 361;;;;;;;;;;;
2016;Midlands;Other service activities Other service activities;No management;5 792  ;5 477  ;6 195  ; 718;;;;;;;;;;;
2014;Midlands;TOTAL;Total ;6 358  ;5 879  ;6 677  ; 798;;;;;;;;;;;
2014;Midlands;SECTOR 2 PRODUCTION;Total ;6 076  ;5 241  ;6 275  ;1 034;;;;;;;;;;;
2014;Midlands;Mining and quarrying;Total ;6 525  ;*  ;6 581  ;#WERT!;;;;;;;;;;;
2014;Midlands;Manufacturing/production of Goods;Total ;6 012  ;5 156  ;6 343  ;1 187;;;;;;;;;;;
2014;Midlands;"Water supply; sewage and waste disposal";Total ;6 109  ;6 184  ;6 102  ;- 82;;;;;;;;;;;
2014;Midlands;Construction ;Total ;6 007  ;5 588  ;6 038  ; 450;;;;;;;;;;;
2014;Midlands;SECTOR 3 SERVICES ;Total ;6 530  ;6 031  ;7 056  ;1 025;;;;;;;;;;;
2014;Midlands;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Total ;5 238  ;4 603  ;5 925  ;1 322;;;;;;;;;;;
2014;Midlands;Transportation and storage;Total ;6 448  ;6 114  ;6 629 ;#WERT!;;;;;;;;;;;
2014;Midlands;Hotels and restaurants;Total ;4 331  ;4 232  ;4 524  ; 292;;;;;;;;;;;
2014;Midlands;Information and communication;Total ;8 501  ;6 924  ;9 233  ;2 309;;;;;;;;;;;
2014;Midlands;Financial and insurance services;Total ;7 522  ;6 483  ;9 286  ;2 803;;;;;;;;;;;
2014;Midlands;Professional, scientific and technical services;Total ;7 267  ;6 331  ;8 080  ;1 749;;;;;;;;;;;
2014;Midlands;Other business services;Total ;5 552  ;4 795  ;5 850  ;1 055;;;;;;;;;;;
2014;Midlands;Health and social work;Total ;6 132  ;5 935  ;6 895  ; 960;;;;;;;;;;;
2014;Midlands;Arts, entertainment and recreation;Total ;6 245  ;5 722  ;6 697  ; 975;;;;;;;;;;;
2014;Midlands;Other service activities Other service activities;Total ;6 231  ;5 592  ;7 246  ;1 654;;;;;;;;;;;
2014;Midlands;TOTAL;Top, upper,  middle management;9 629  ;7 959  ;10 195  ;2 236;;;;;;;;;;;
2014;Midlands;SECTOR 2 PRODUCTION;Top, upper,  middle management;9 219  ;7 829  ;9 399  ;1 570;;;;;;;;;;;
2014;Midlands;Mining and quarrying;Top, upper,  middle management;*  ; -  ;*  ;#WERT!;;;;;;;;;;;
2014;Midlands;Manufacturing/production of Goods;Top, upper,  middle management;9 539  ;7 986  ;9 779  ;1 793;;;;;;;;;;;
2014;Midlands;"Water supply; sewage and waste disposal";Top, upper,  middle management;9 542 ;*  ;9 455 ;#WERT!;;;;;;;;;;;
2014;Midlands;Construction ;Top, upper,  middle management;7 880  ;6 608 ;7 934  ;#WERT!;;;;;;;;;;;
2014;Midlands;SECTOR 3 SERVICES ;Top, upper,  middle management;9 874  ;8 000  ;10 688  ;2 688;;;;;;;;;;;
2014;Midlands;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Top, upper,  middle management;7 270  ;5 584 ;7 977  ;#WERT!;;;;;;;;;;;
2014;Midlands;Transportation and storage;Top, upper,  middle management;11 705  ;10 949 ;11 766  ;#WERT!;;;;;;;;;;;
2014;Midlands;Hotels and restaurants;Top, upper,  middle management;5 218  ;4 978  ;5 638 ;#WERT!;;;;;;;;;;;
2014;Midlands;Information and communication;Top, upper,  middle management;12 871  ;11 362  ;13 020  ;1 658;;;;;;;;;;;
2014;Midlands;Financial and insurance services;Top, upper,  middle management;11 905  ;10 190  ;12 302  ;2 112;;;;;;;;;;;
2014;Midlands;Professional, scientific and technical services;Top, upper,  middle management;10 615  ;8 970  ;11 106  ;2 136;;;;;;;;;;;
2014;Midlands;Other business services;Top, upper,  middle management;8 157 ;7 174  ;8 889 ;#WERT!;;;;;;;;;;;
2014;Midlands;Health and social work;Top, upper,  middle management;8 756  ;7 911  ;9 975  ;2 064;;;;;;;;;;;
2014;Midlands;Arts, entertainment and recreation;Top, upper,  middle management;8 198 ;7 222 ;8 726 ;#WERT!;;;;;;;;;;;
2014;Midlands;Other service activities Other service activities;Top, upper,  middle management;9 274  ;8 158  ;9 728  ;1 570;;;;;;;;;;;
2014;Midlands;TOTAL;Lower management;7 533  ;6 760  ;7 896  ;1 136;;;;;;;;;;;
2014;Midlands;SECTOR 2 PRODUCTION;Lower management;7 349  ;6 606 ;7 501  ;#WERT!;;;;;;;;;;;
2014;Midlands;Mining and quarrying;Lower management;*  ;*  ;*  ;#WERT!;;;;;;;;;;;
2014;Midlands;Manufacturing/production of Goods;Lower management;7 222  ;6 463 ;7 320  ;#WERT!;;;;;;;;;;;
2014;Midlands;"Water supply; sewage and waste disposal";Lower management;7 197 ;*  ;7 623 ;#WERT!;;;;;;;;;;;
2014;Midlands;Construction ;Lower management;7 176  ;6 281  ;7 252  ; 971;;;;;;;;;;;
2014;Midlands;SECTOR 3 SERVICES ;Lower management;7 674  ;6 819  ;8 342  ;1 523;;;;;;;;;;;
2014;Midlands;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lower management;6 665  ;5 633  ;7 223  ;1 590;;;;;;;;;;;
2014;Midlands;Transportation and storage;Lower management;7 724 ;6 333 ;7 945  ;#WERT!;;;;;;;;;;;
2014;Midlands;Hotels and restaurants;Lower management;4 950  ;4 746  ;5 180  ; 434;;;;;;;;;;;
2014;Midlands;Information and communication;Lower management;8 514 ;6 775 ;9 694 ;#WERT!;;;;;;;;;;;
2014;Midlands;Financial and insurance services;Lower management;8 849  ;7 584  ;9 704  ;2 120;;;;;;;;;;;
2014;Midlands;Professional, scientific and technical services;Lower management;7 480  ;6 681  ;8 093  ;1 412;;;;;;;;;;;
2014;Midlands;Other business services;Lower management;6 424 ;6 306  ;6 762 ;#WERT!;;;;;;;;;;;
2014;Midlands;Health and social work;Lower management;7 200  ;6 745  ;7 945  ;1 200;;;;;;;;;;;
2014;Midlands;Arts, entertainment and recreation;Lower management;7 837  ;7 340  ;8 219 ;#WERT!;;;;;;;;;;;
2014;Midlands;Other service activities Other service activities;Lower management;7 584  ;6 884 ;8 224  ;#WERT!;;;;;;;;;;;
2014;Midlands;TOTAL;Lowest management;6 892  ;6 396  ;7 094  ; 698;;;;;;;;;;;
2014;Midlands;SECTOR 2 PRODUCTION;Lowest management;6 562  ;5 713  ;6 700  ; 987;;;;;;;;;;;
2014;Midlands;Mining and quarrying;Lowest management;*  ;*  ;*  ;#WERT!;;;;;;;;;;;
2014;Midlands;Manufacturing/production of Goods;Lowest management;6 542  ;5 619  ;6 712  ;1 093;;;;;;;;;;;
2014;Midlands;"Water supply; sewage and waste disposal";Lowest management;7 014 ;*  ;6 654 ;#WERT!;;;;;;;;;;;
2014;Midlands;Construction ;Lowest management;6 354  ;5 455  ;6 427  ; 972;;;;;;;;;;;
2014;Midlands;SECTOR 3 SERVICES ;Lowest management;7 163  ;6 628  ;7 538  ; 910;;;;;;;;;;;
2014;Midlands;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lowest management;5 674  ;4 952  ;6 303  ;1 351;;;;;;;;;;;
2014;Midlands;Transportation and storage;Lowest management;8 037 ;7 759 ;8 111 ;#WERT!;;;;;;;;;;;
2014;Midlands;Hotels and restaurants;Lowest management;4 562  ;4 562  ;4 707  ; 145;;;;;;;;;;;
2014;Midlands;Information and communication;Lowest management;8 115  ;6 688  ;8 283  ;1 595;;;;;;;;;;;
2014;Midlands;Financial and insurance services;Lowest management;7 463  ;6 951  ;8 420  ;1 469;;;;;;;;;;;
2014;Midlands;Professional, scientific and technical services;Lowest management;6 786  ;6 306  ;7 222  ; 916;;;;;;;;;;;
2014;Midlands;Other business services;Lowest management;6 079  ;5 327 ;6 183  ;#WERT!;;;;;;;;;;;
2014;Midlands;Health and social work;Lowest management;6 675  ;6 541  ;6 935  ; 394;;;;;;;;;;;
2014;Midlands;Arts, entertainment and recreation;Lowest management;5 991  ;5 571 ;*;#WERT!;;;;;;;;;;;
2014;Midlands;Other service activities Other service activities;Lowest management;6 498  ;6 112  ;6 884  ; 772;;;;;;;;;;;
2014;Midlands;TOTAL;No management;5 937  ;5 588  ;6 122  ; 534;;;;;;;;;;;
2014;Midlands;SECTOR 2 PRODUCTION;No management;5 686  ;5 028  ;5 861  ; 833;;;;;;;;;;;
2014;Midlands;Mining and quarrying;No management;6 356  ;*  ;6 414  ;#WERT!;;;;;;;;;;;
2014;Midlands;Manufacturing/production of Goods;No management;5 610  ;4 978  ;5 891  ; 913;;;;;;;;;;;
2014;Midlands;"Water supply; sewage and waste disposal";No management;5 585  ;5 864 ;5 582  ;#WERT!;;;;;;;;;;;
2014;Midlands;Construction ;No management;5 752  ;5 392  ;5 769  ; 377;;;;;;;;;;;
2014;Midlands;SECTOR 3 SERVICES ;No management;6 070  ;5 751  ;6 366  ; 615;;;;;;;;;;;
2014;Midlands;"Wholesale and retail trade; repair of motor vehicles and motorcycles";No management;4 866  ;4 439  ;5 262  ; 823;;;;;;;;;;;
2014;Midlands;Transportation and storage;No management;6 205  ;6 020  ;6 307 ;#WERT!;;;;;;;;;;;
2014;Midlands;Hotels and restaurants;No management;4 083  ;4 056  ;4 101  ; 45;;;;;;;;;;;
2014;Midlands;Information and communication;No management;7 861  ;6 739  ;8 522  ;1 783;;;;;;;;;;;
2014;Midlands;Financial and insurance services;No management;6 470  ;6 159  ;7 175  ;1 016;;;;;;;;;;;
2014;Midlands;Professional, scientific and technical services;No management;6 335  ;6 000  ;6 717  ; 717;;;;;;;;;;;
2014;Midlands;Other business services;No management;5 214  ;4 628  ;5 528  ; 900;;;;;;;;;;;
2014;Midlands;Health and social work;No management;5 778  ;5 710  ;6 149  ; 439;;;;;;;;;;;
2014;Midlands;Arts, entertainment and recreation;No management;5 782  ;5 411  ;6 166  ; 755;;;;;;;;;;;
2014;Midlands;Other service activities Other service activities;No management;5 543  ;5 143  ;6 176  ;1 033;;;;;;;;;;;
2012;Midlands;TOTAL;Total ;6 308  ;5 658  ;6 690  ;1 032;;;;;;;;;;;
2012;Midlands;SECTOR 2 PRODUCTION;Total ;6 066  ;5 145  ;6 276  ;1 131;;;;;;;;;;;
2012;Midlands;Mining and quarrying;Total ;6 242  ;*  ;6 245  ;#WERT!;;;;;;;;;;;
2012;Midlands;Manufacturing/production of Goods;Total ;6 053  ;5 076  ;6 397  ;1 321;;;;;;;;;;;
2012;Midlands;"Water supply; sewage and waste disposal";Total ;6 009  ;5 680  ;6 043  ; 363;;;;;;;;;;;
2012;Midlands;Construction ;Total ;5 943  ;5 343  ;5 975  ; 632;;;;;;;;;;;
2012;Midlands;SECTOR 3 SERVICES ;Total ;6 473  ;5 810  ;7 086  ;1 276;;;;;;;;;;;
2012;Midlands;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Total ;5 157  ;4 504  ;5 759  ;1 255;;;;;;;;;;;
2012;Midlands;Transportation and storage;Total ;6 522 ;6 094 ;6 733  ;#WERT!;;;;;;;;;;;
2012;Midlands;Hotels and restaurants;Total ;4 256  ;4 127  ;4 476  ; 349;;;;;;;;;;;
2012;Midlands;Information and communication;Total ;8 547  ;6 895  ;9 335  ;2 440;;;;;;;;;;;
2012;Midlands;Financial and insurance services;Total ;7 432  ;6 347  ;9 214  ;2 867;;;;;;;;;;;
2012;Midlands;Professional, scientific and technical services;Total ;7 130  ;6 013  ;8 128  ;2 115;;;;;;;;;;;
2012;Midlands;Other business services;Total ;5 414  ;4 697  ;5 765  ;1 068;;;;;;;;;;;
2012;Midlands;Health and social work;Total ;6 072  ;5 843  ;6 879  ;1 036;;;;;;;;;;;
2012;Midlands;Arts, entertainment and recreation;Total ;5 809  ;5 210  ;6 392  ;1 182;;;;;;;;;;;
2012;Midlands;Other service activities Other service activities;Total ;6 088  ;5 569  ;6 844  ;1 275;;;;;;;;;;;
2012;Midlands;TOTAL;Top, upper,  middle management;9 500  ;7 441  ;10 166  ;2 725;;;;;;;;;;;
2012;Midlands;SECTOR 2 PRODUCTION;Top, upper,  middle management;9 433  ;7 440  ;9 630  ;2 190;;;;;;;;;;;
2012;Midlands;Mining and quarrying;Top, upper,  middle management;*  ;*  ;*  ;#WERT!;;;;;;;;;;;
2012;Midlands;Manufacturing/production of Goods;Top, upper,  middle management;9 849  ;7 794  ;10 086  ;2 292;;;;;;;;;;;
2012;Midlands;"Water supply; sewage and waste disposal";Top, upper,  middle management;8 449  ;*  ;8 664  ;#WERT!;;;;;;;;;;;
2012;Midlands;Construction ;Top, upper,  middle management;7 973  ;5 711 ;8 104  ;#WERT!;;;;;;;;;;;
2012;Midlands;SECTOR 3 SERVICES ;Top, upper,  middle management;9 536  ;7 441  ;10 553  ;3 112;;;;;;;;;;;
2012;Midlands;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Top, upper,  middle management;7 828  ;6 118  ;8 417  ;2 299;;;;;;;;;;;
2012;Midlands;Transportation and storage;Top, upper,  middle management;10 751 ;8 722 ;10 863 ;#WERT!;;;;;;;;;;;
2012;Midlands;Hotels and restaurants;Top, upper,  middle management;5 162  ;4 632  ;5 663  ;1 031;;;;;;;;;;;
2012;Midlands;Information and communication;Top, upper,  middle management;12 847  ;10 456  ;13 071  ;2 615;;;;;;;;;;;
2012;Midlands;Financial and insurance services;Top, upper,  middle management;11 679  ;9 492  ;12 069  ;2 577;;;;;;;;;;;
2012;Midlands;Professional, scientific and technical services;Top, upper,  middle management;10 735  ;7 843  ;11 571  ;3 728;;;;;;;;;;;
2012;Midlands;Other business services;Top, upper,  middle management;7 663 ;5 647 ;9 091 ;#WERT!;;;;;;;;;;;
2012;Midlands;Health and social work;Top, upper,  middle management;8 178  ;7 551  ;9 562  ;2 011;;;;;;;;;;;
2012;Midlands;Arts, entertainment and recreation;Top, upper,  middle management;8 601  ;7 291  ;9 208  ;1 917;;;;;;;;;;;
2012;Midlands;Other service activities Other service activities;Top, upper,  middle management;9 176  ;7 889 ;9 763  ;#WERT!;;;;;;;;;;;
2012;Midlands;TOTAL;Lower management;7 586  ;6 750  ;7 927  ;1 177;;;;;;;;;;;
2012;Midlands;SECTOR 2 PRODUCTION;Lower management;7 543  ;6 714  ;7 651  ; 937;;;;;;;;;;;
2012;Midlands;Mining and quarrying;Lower management;*  ;*  ;*  ;#WERT!;;;;;;;;;;;
2012;Midlands;Manufacturing/production of Goods;Lower management;7 679  ;6 717  ;7 825  ;1 108;;;;;;;;;;;
2012;Midlands;"Water supply; sewage and waste disposal";Lower management;7 781 ;*  ;*  ;#WERT!;;;;;;;;;;;
2012;Midlands;Construction ;Lower management;6 747  ;5 545 ;6 807  ;#WERT!;;;;;;;;;;;
2012;Midlands;SECTOR 3 SERVICES ;Lower management;7 608  ;6 760  ;8 330  ;1 570;;;;;;;;;;;
2012;Midlands;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lower management;6 605  ;5 755  ;7 040  ;1 285;;;;;;;;;;;
2012;Midlands;Transportation and storage;Lower management;6 346 ;5 843 ;6 452 ;#WERT!;;;;;;;;;;;
2012;Midlands;Hotels and restaurants;Lower management;4 905  ;4 715  ;4 952  ; 237;;;;;;;;;;;
2012;Midlands;Information and communication;Lower management;9 414  ;7 375 ;9 837  ;#WERT!;;;;;;;;;;;
2012;Midlands;Financial and insurance services;Lower management;8 886  ;7 530  ;9 563  ;2 033;;;;;;;;;;;
2012;Midlands;Professional, scientific and technical services;Lower management;7 691  ;6 990  ;8 270  ;1 280;;;;;;;;;;;
2012;Midlands;Other business services;Lower management;6 337  ;5 742 ;6 884  ;#WERT!;;;;;;;;;;;
2012;Midlands;Health and social work;Lower management;7 118  ;6 740  ;7 864  ;1 124;;;;;;;;;;;
2012;Midlands;Arts, entertainment and recreation;Lower management;6 441  ;5 760 ; 6 917;#WERT!;;;;;;;;;;;
2012;Midlands;Other service activities Other service activities;Lower management;7 061  ;6 139 ;7 760  ;#WERT!;;;;;;;;;;;
2012;Midlands;TOTAL;Lowest management;6 823  ;6 243  ;7 051  ; 808;;;;;;;;;;;
2012;Midlands;SECTOR 2 PRODUCTION;Lowest management;6 582  ;5 926  ;6 700  ; 774;;;;;;;;;;;
2012;Midlands;Mining and quarrying;Lowest management;*  ;*  ;*  ;#WERT!;;;;;;;;;;;
2012;Midlands;Manufacturing/production of Goods;Lowest management;6 571  ;5 850  ;6 721  ; 871;;;;;;;;;;;
2012;Midlands;"Water supply; sewage and waste disposal";Lowest management;7 203  ;*  ;7 411  ;#WERT!;;;;;;;;;;;
2012;Midlands;Construction ;Lowest management;6 416  ;5 973  ;6 446  ; 473;;;;;;;;;;;
2012;Midlands;SECTOR 3 SERVICES ;Lowest management;7 031  ;6 305  ;7 474  ;1 169;;;;;;;;;;;
2012;Midlands;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lowest management;5 412  ;4 691  ;5 900  ;1 209;;;;;;;;;;;
2012;Midlands;Transportation and storage;Lowest management;8 024 ;7 670 ;8 094 ;#WERT!;;;;;;;;;;;
2012;Midlands;Hotels and restaurants;Lowest management;4 455  ;4 292  ;4 636  ; 344;;;;;;;;;;;
2012;Midlands;Information and communication;Lowest management;9 076  ;7 193  ;9 822  ;2 629;;;;;;;;;;;
2012;Midlands;Financial and insurance services;Lowest management;7 610  ;7 055  ;8 182  ;1 127;;;;;;;;;;;
2012;Midlands;Professional, scientific and technical services;Lowest management;6 838  ;6 024  ;7 479  ;1 455;;;;;;;;;;;
2012;Midlands;Other business services;Lowest management;5 715  ;4 998 ;6 047  ;#WERT!;;;;;;;;;;;
2012;Midlands;Health and social work;Lowest management;6 612  ;6 473  ;7 045  ; 572;;;;;;;;;;;
2012;Midlands;Arts, entertainment and recreation;Lowest management;6 275 ;6 361 ; 5 914;#WERT!;;;;;;;;;;;
2012;Midlands;Other service activities Other service activities;Lowest management;6 416  ;6 185  ;6 675  ; 490;;;;;;;;;;;
2012;Midlands;TOTAL;No management;5 812  ;5 299  ;6 074  ; 775;;;;;;;;;;;
2012;Midlands;SECTOR 2 PRODUCTION;No management;5 620  ;4 900  ;5 804  ; 904;;;;;;;;;;;
2012;Midlands;Mining and quarrying;No management;6 045  ;*  ;6 104  ;#WERT!;;;;;;;;;;;
2012;Midlands;Manufacturing/production of Goods;No management;5 558  ;4 854  ;5 842  ; 988;;;;;;;;;;;
2012;Midlands;"Water supply; sewage and waste disposal";No management;5 628  ;5 529  ;5 634  ; 105;;;;;;;;;;;
2012;Midlands;Construction ;No management;5 655  ;5 221  ;5 687  ; 466;;;;;;;;;;;
2012;Midlands;SECTOR 3 SERVICES ;No management;5 938  ;5 445  ;6 362  ; 917;;;;;;;;;;;
2012;Midlands;"Wholesale and retail trade; repair of motor vehicles and motorcycles";No management;4 756  ;4 375  ;5 242  ; 867;;;;;;;;;;;
2012;Midlands;Transportation and storage;No management;6 300 ;6 021 ;6 453 ;#WERT!;;;;;;;;;;;
2012;Midlands;Hotels and restaurants;No management;4 100  ;4 025  ;4 225  ; 200;;;;;;;;;;;
2012;Midlands;Information and communication;No management;7 882  ;6 718  ;8 569  ;1 851;;;;;;;;;;;
2012;Midlands;Financial and insurance services;No management;6 347  ;6 021  ;7 293  ;1 272;;;;;;;;;;;
2012;Midlands;Professional, scientific and technical services;No management;6 165  ;5 709  ;6 775  ;1 066;;;;;;;;;;;
2012;Midlands;Other business services;No management;5 176  ;4 624  ;5 499  ; 875;;;;;;;;;;;
2012;Midlands;Health and social work;No management;5 630  ;5 532  ;6 140  ; 608;;;;;;;;;;;
2012;Midlands;Arts, entertainment and recreation;No management;5 349  ;4 890  ;5 809  ; 919;;;;;;;;;;;
2012;Midlands;Other service activities Other service activities;No management;5 347  ;5 088  ;5 598  ; 510;;;;;;;;;;;
2020;North-West;TOTAL;Total ;6 789;6 395;7 050; 655;;;;;;;;;;;
2020;North-West;SECTOR 2 PRODUCTION;Total ;7 048;7 182;7 023;- 159;;;;;;;;;;;
2020;North-West;Mining and quarrying;Total ;6 594;*;6 417;#WERT!;;;;;;;;;;;
2020;North-West;Manufacturing/production of Goods;Total ;7 540;7 378;7 580; 202;;;;;;;;;;;
2020;North-West;"Water supply; sewage and waste disposal";Total ;6 346;5 960;6 359; 399;;;;;;;;;;;
2020;North-West;Construction ;Total ;6 213;5 908;6 234; 326;;;;;;;;;;;
2020;North-West;SECTOR 3 SERVICES ;Total ;6 671;6 297;7 078; 781;;;;;;;;;;;
2020;North-West;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Total ;5 821;5 152;6 379;1 227;;;;;;;;;;;
2020;North-West;Transportation and storage;Total ;5 623;5 511;5 637; 126;;;;;;;;;;;
2020;North-West;Hotels and restaurants;Total ;4 638;4 543;4 727; 184;;;;;;;;;;;
2020;North-West;Information and communication;Total ;8 719;7 186;9 200;2 014;;;;;;;;;;;
2020;North-West;Financial and insurance services;Total ;9 066;7 502;10 297;2 795;;;;;;;;;;;
2020;North-West;Professional, scientific and technical services;Total ;8 166;7 313;8 791;1 478;;;;;;;;;;;
2020;North-West;Other business services;Total ;5 605;4 995;5 721; 726;;;;;;;;;;;
2020;North-West;Health and social work;Total ;6 470;6 253;7 220; 967;;;;;;;;;;;
2020;North-West;Arts, entertainment and recreation;Total ;6 306;5 824;6 651; 827;;;;;;;;;;;
2020;North-West;Other service activities Other service activities;Total ;6 050;5 408;6 952;1 544;;;;;;;;;;;
2020;North-West;TOTAL;Top, upper,  middle management;10 968;9 527;11 448;1 921;;;;;;;;;;;
2020;North-West;SECTOR 2 PRODUCTION;Top, upper,  middle management;12 602;16 431;11 795;-4 636;;;;;;;;;;;
2020;North-West;Mining and quarrying;Top, upper,  middle management;*;*;*;#WERT!;;;;;;;;;;;
2020;North-West;Manufacturing/production of Goods;Top, upper,  middle management;14 802;17 041;13 731;-3 310;;;;;;;;;;;
2020;North-West;"Water supply; sewage and waste disposal";Top, upper,  middle management;9 940;*;10 109;#WERT!;;;;;;;;;;;
2020;North-West;Construction ;Top, upper,  middle management;8 865;7 697;8 920;1 223;;;;;;;;;;;
2020;North-West;SECTOR 3 SERVICES ;Top, upper,  middle management;10 294;8 420;11 287;2 867;;;;;;;;;;;
2020;North-West;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Top, upper,  middle management;9 697;7 307;10 635;3 328;;;;;;;;;;;
2020;North-West;Transportation and storage;Top, upper,  middle management;9 181;8 584;9 557; 973;;;;;;;;;;;
2020;North-West;Hotels and restaurants;Top, upper,  middle management;5 629;5 159;6 176;1 017;;;;;;;;;;;
2020;North-West;Information and communication;Top, upper,  middle management;10 766;8 381;11 538;3 157;;;;;;;;;;;
2020;North-West;Financial and insurance services;Top, upper,  middle management;16 082;11 911;16 976;5 065;;;;;;;;;;;
2020;North-West;Professional, scientific and technical services;Top, upper,  middle management;12 569;12 443;12 668; 225;;;;;;;;;;;
2020;North-West;Other business services;Top, upper,  middle management;7 645;6 465;8 045;1 580;;;;;;;;;;;
2020;North-West;Health and social work;Top, upper,  middle management;9 625;8 605;12 129;3 524;;;;;;;;;;;
2020;North-West;Arts, entertainment and recreation;Top, upper,  middle management;7 906;7 027;8 093;1 066;;;;;;;;;;;
2020;North-West;Other service activities Other service activities;Top, upper,  middle management;9 088;8 045;9 860;1 815;;;;;;;;;;;
2020;North-West;TOTAL;Lower management;8 929;8 119;9 309;1 190;;;;;;;;;;;
2020;North-West;SECTOR 2 PRODUCTION;Lower management;9 282;10 013;9 158;- 855;;;;;;;;;;;
2020;North-West;Mining and quarrying;Lower management;*;*;*;#WERT!;;;;;;;;;;;
2020;North-West;Manufacturing/production of Goods;Lower management;9 852;10 432;9 722;- 710;;;;;;;;;;;
2020;North-West;"Water supply; sewage and waste disposal";Lower management;8 101;*;*;#WERT!;;;;;;;;;;;
2020;North-West;Construction ;Lower management;7 205;*;7 136;#WERT!;;;;;;;;;;;
2020;North-West;SECTOR 3 SERVICES ;Lower management;8 747;7 752;9 410;1 658;;;;;;;;;;;
2020;North-West;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Lower management;7 704;7 281;7 780; 499;;;;;;;;;;;
2020;North-West;Transportation and storage;Lower management;7 957;7 598;7 957; 359;;;;;;;;;;;
2020;North-West;Hotels and restaurants;Lower management;5 270;4 979;5 570; 591;;;;;;;;;;;
2020;North-West;Information and communication;Lower management;10 019;9 189;10 314;1 125;;;;;;;;;;;
2020;North-West;Financial and insurance services;Lower management;11 789;10 768;12 137;1 369;;;;;;;;;;;
2020;North-West;Professional, scientific and technical services;Lower management;9 692;8 815;10 006;1 191;;;;;;;;;;;
2020;North-West;Other business services;Lower management;6 859;6 986;6 859;- 127;;;;;;;;;;;
2020;North-West;Health and social work;Lower management;7 769;7 218;9 150;1 932;;;;;;;;;;;
2020;North-West;Arts, entertainment and recreation;Lower management;7 544;6 585;7 796;1 211;;;;;;;;;;;
2020;North-West;Other service activities Other service activities;Lower management;7 002;6 479;8 257;1 778;;;;;;;;;;;
2020;North-West;TOTAL;Lowest management;7 557;7 043;7 802; 759;;;;;;;;;;;
2020;North-West;SECTOR 2 PRODUCTION;Lowest management;7 303;7 220;7 329; 109;;;;;;;;;;;
2020;North-West;Mining and quarrying;Lowest management;*;*;*;#WERT!;;;;;;;;;;;
